Reference Type,Author,Year,Chapter Title,Book Editor,Book Title,Place Published,Publisher,Volume,Number of Volumes,Page Range,Chapter Number,Edition,Translator,ISBN,DOI,Reprint Edition,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Chapter,"Bilinkoff, Jodi",2011,A Christian and a Gentleman: Sanctity and Masculine Honor in Pedro de Ribadeneyra’s Life of Francis Borgia,"García Hernán, Enrique|Ryan, María del Pilar","Francisco de Borja y su tiempo: Política, religión y cultura en la Edad Moderna",Rome; Valencia,Institutum Historicum Societatis Iesu; Albatros Ediciones,,,447–455,,,,8870413748|9788870413748|9788472742949|8472742946,,,http://www.worldcat.org/oclc/783149943,,,16th century|17th century,Gender|Saints and Blessed|Biography -- Hagiography|Writers,Europe -- Spain,"Ribadeneyra, Pedro de, 1526–1611|Borja, Francisco de, Saint, 1510–1572",,|Type of Work:  Conference publication,,,,English,CULL|REVIEW
Book Chapter,"Billings, Thomas",2008,Untranslation Theory: The Nestorian Stele and the Jesuit Illustration of China,"Hayot, Eric|Saussy, Haun|Yao, Steven G.",Sinographies: Writing China,Minneapolis,University of Minnesota Press,,,89–114,,,,9780816653799|0816653798,,,http://worldcat.org/oclc/487619771,,,16th century|17th century,Foreign Missions -- Archaeology|Foreign Missions -- Arts -- Images|Foreign Missions -- History -- Regional,Asia -- China,,,,,,,English,KEEP|REVIEW
Book Chapter,"Bingemer, Maria Clara Lucchetti",2016,The Jesuits and Social Justice in Latin America,"Banchoff, Thomas|Casanova, José",The Jesuits and Globalization: Historical Legacies and Contemporary Challenges,"Washington, D.C.",Georgetown University Press,,,188–206,9,,,9781626162877|9781626162860,,,www.worldcat.org/oclc/9553361,http://press.georgetown.edu/book/georgetown/jesuits-and-globalization,,,Foreign Missions -- Identity -- Social Justice|Foreign Missions -- History -- Regional|Politics,,,,,,,,English,KEEP|REVIEW
Book Chapter,"Biraghi, Graziano",2015,The Encounter of the Assocation of Italian Catholic Teachers with Lonergan,"Whelan, Gerard",Lonergan's Anthropology Revisited: The Next Fifty Years of Vatican II,Rome,Gregorian and Biblical Press,,,495–8,,,,9788878393202|8878393207,,,http://worldcat.org/oclc/931097797,,,20th century,Education -- Schools -- History -- Regional -- Teaching|Education -- Pedagogy|Philosophy -- Epistemology,Europe -- Italy,"Lonergan, Bernard J. F., 1904–1984",,,,,,English,CULL|REVIEW
Book Chapter,"Bireley, Robert",2012,Acquaviva's Instruction for Confessors of Princes (1602/1608): A Document and Its Interpretation,"Martínez Millán, José|Pizarro Llorente, Henar|Jiménez Pablo, Esther","Los jesuitas. Religión, política y educación (siglos XVI–XVIII)",Madrid,Universidad Pontificia Comillas,1,3,45–68,,,,9788484684282|8484684288|9788484684299|8484684296|9788484684305|848468430X|9788484684312|8484684318,,,http://www.worldcat.org/oclc/820121652,,,17th century,Ministries -- Confession|Government -- Generals|Politics,Europe -- Italy,"Acquaviva, Claudio, 1543–1615",,,,,,English,CULL|REVIEW
Book Chapter,"Birnbaum, Ben",2008,"The Walsh Tapes (Michael P. Walsh, SJ, 1958–1968)","Birnbaum, Ben","Founding Fathers: Six Boston College Presidents, and the University They Built; Profiles from Boston College Magazine","Chestnut Hill, MA",Linden Lane,,,65–82,5,,,9780981641614|098164161X,,,,http://hdl.handle.net/2345/2404,,20th century,Education -- Universities -- History -- Local|Education -- Universities -- Presidents |Biography -- Primary Sources -- Tapes,North America -- USA -- Massachusetts -- Boston,"Walsh, Michael P., 1912–1982",,,,,,English,CULL|REVIEW
Book Chapter,"Birnbaum, Ben",2008,Paper Trails,"Birnbaum, Ben","Founding Fathers: Six Boston College Presidents, and the University They Built; Profiles from Boston College Magazine","Chestnut Hill, MA",Linden Lane,,,5–8,,,,9780981641614|098164161X,,,,http://hdl.handle.net/2345/2404,,19th century|20th century,Education -- Universities -- History -- Local|Education -- Universities -- Presidents,North America -- USA -- Massachusetts -- Boston,"McElroy, John, 1782–1877|Bapst, John, 1815–1887|Fulton, Robert, 1826–1895|Gasson, Thomas I., 1859–1930|Walsh, Michael P., 1912–1982|Monan, J. Donald, 1924–",,,,,,English,CULL|REVIEW
Book Chapter,"Biron, Johanne",2011,Les livres que les missionnaires de la Compagnie de Jésus ont apportés avec eux en Nouvelle-France: Écrire l’histoire d’une bibliothèque jésuite,"Poirier, Guy|Gomez-Géraud, Marie-Christine|Paré, François",De l’Orient a la Huronie. Du récit de pèlerinage au texte missionnaire,Québec,Presses de l'Université Laval,,,165–184,,,,9782763709437|2763709435,,,http://www.worldcat.org/oclc/759075421,,,16th century|17th century|18th century,Cultural Activities -- Libraries and Archives,North America -- Canada,,,,,,,French,CULL|REVIEW
Book Chapter,"Birx, H. James",2009,"Teilhard de Chardin, Pierre",,Encyclopedia of Time,Los Angeles,Sage,"1: Science, Philosophy, Theology, and Culture",,,,,,9781412941648|1412941644,,,http://worldcat.org/oclc/871773569,,,20th century,Sciences -- Evolutionism|Theology -- Cosmology|Biography -- Intellectual,,"Teilhard de Chardin, Pierre, 1881–1955","Surveying the major facts, concepts, theories, and speculations that infuse our present comprehension of time, The Encyclopedia of Time: Science, Philosophy, Theology, and Culture explores the contributions of scientists, philosophers, theologians, and creative artists from ancient times to the present. By drawing together into one collection ideas from scholars around the globe and in a wide range of disciplines, this Encyclopedia will provide readers with a greater understanding of and appreciation for the elusive phenomenon experienced as time.This title surveys historical thought about time, including those that emerged in ancient Greece, early Christianity, the Italian Renaissance, the Age of Enlightenment, and other periods. It covers the original and lasting insights of evolutionary biologist Charles Darwin, physicist Albert Einstein, philosopher Alfred North Whitehead, and theologian Pierre Teilhard de Chardin. It discusses the significance of time in the writings of Isaac Asimov, Samuel Taylor Coleridge, Fyodor M.Dostoevsky, Francesco Petrarch, and numerous other authors. It includes the contributions of naturalists, philosophers, physicists, theologians, astronomers, anthropologists, geologists, paleontologists, and psychologists.It includes artists portrayals of the fluidity of time, including painter Salvador Dali's The Persistence of Memory and The Discovery of America by Christopher Columbus, and writers Gustave Flaubert's The Temptation of Saint Anthony and Henryk Sienkiewicz's Quo Vadis. It provides a truly interdisciplinary approach, with discussions of Aztec, Buddhist, Christian, Egyptian, Ethiopian, Islamic, Hindu, Navajo, and many other cultures A conceptions of time",Edited by James H. Birx,,,,English,CULL|REVIEW
Book Chapter,"Bitskey, István",2010,Der ungarische Jesuit Péter Pázmány über die Religionsfreiheit der Calvinisten und der Lutheraner,"Fata, Márta|Schindling, Anton","Calvin und Reformiertentum in Ungarn und Siebenbürgen: Helvetisches Bekenntnis, Ethnie und Politik vom 16. Jahrhundert bis 1918",Münster,Aschendorff,,,453–472,,,,9783402115800|3402115808,,,http://worldcat.org/oclc/535492225,,,17th century,History -- Regional|Controversies -- Calvinism,Europe -- Hungary,"Pázmány, Péter, 1570–1637",,"Essay from collection of essays out of the international conference proceedings, November 2008, Tübingen.",,,,German,CULL|REVIEW
Book Chapter,"Bizzell, Patricia",2016,Historical Notes on Rhetoric in Jesuit Education,"Gannett, Cinthia|Brereton, John",Traditions of Eloquence: The Jesuits and Modern Rhetorical Studies,New York,Fordham University Press,,,39–59,1,,,9780823264520,,,www.worldcat.org//oclc/917131567,,,16th century|20th century,Education -- Colleges -- Rhetoric|Education -- History of Education,Europe -- Italy -- Messina|North America -- USA -- Massachusetts -- Worcester,"Polanco, Juan Alfonso de, 1517–1576|Ignatius, of Loyola, Saint, c.1491–1556",,,,,,English,KEEP|REVIEW
Book Chapter,"Blakely, Colin",2014,"Xavier, Francis",,Great Christian Thinkers: A Beginner's Guide to Over Seventy Leading Theologians through the Ages,"Peabody, MA",Hendrickson,,,,,2nd,,1619702711|9781619702714,,,http://worldcat.org/oclc/907560866,,,16th century,Saints and Blessed -- Biography|Foreign Missions,,"Francis Xavier, Saint, 1506–1552",,|Original Publication:  2001,,,,English,CULL|REVIEW
Book Chapter,"Blakely, Colin",2014,"Teilhard de Chardin, Pierre",,Great Christian Thinkers: A Beginner's Guide to Over Seventy Leading Theologians through the Ages,"Peabody, MA",Hendrickson,,,,,2nd,,1619702711|9781619702714,,,http://worldcat.org/oclc/907560866,,,20th century,Theology -- Sciences|Theology -- Biography,,"Teilhard de Chardin, Pierre, 1881–1955",,|Original Publication:  2001,,,,English,CULL|REVIEW
Book Chapter,"Blakely, Colin",2014,"Loyola, Ignatius",,Great Christian Thinkers: A Beginner's Guide to Over Seventy Leading Theologians through the Ages,"Peabody, MA",Hendrickson,,,,,2nd,,1619702711|9781619702714,,,http://worldcat.org/oclc/907560866,,,16th century,Ignatius of Loyola -- Biography|Ignatius of Loyola -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,|Original Publication:  2001,,,,English,CULL|REVIEW
Book Chapter,"Blanco Carballo, Antonio",2008,Présentación: Desde Galicia,"Hoyos de Asig, María|Blanco Carballo, Antonio|Corral Alonso, Enrique",En la memoria del pueblo: Homenaje a Fernando Hoyos/Na memoria do pobo: Homenaxe a Fernando Hoyos,"Santiago de Compostela, Spain",Fundación 10 de Marzo,,,9–14,,,,9788493059569|8493059560,,,http://worldcat.org/oclc/316144626,,,20th century,Foreign Missions -- Biography,Europe -- Spain -- Galicia,"Hoyos, Fernando, 1943–1982",,In Spanish and Galician.,,,,Spanish,CULL|REVIEW
Book Chapter,"Blanco Carballo, Antonio",2008,Centroamérica: Un volcán,"Hoyos de Asig, María|Blanco Carballo, Antonio|Corral Alonso, Enrique",En la memoria del pueblo: Homenaje a Fernando Hoyos/Na memoria do pobo: Homenaxe a Fernando Hoyos,"Santiago de Compostela, Spain",Fundación 10 de Marzo,,,19–68,,,,9788493059569|8493059560,,,http://worldcat.org/oclc/316144626,,,20th century,Foreign Missions -- Biography,North America -- Guatemala,"Hoyos, Fernando, 1943–1982",,In Spanish and Galician.,,,,Spanish,CULL|REVIEW
Book Chapter,"Blau, Alessandra Resende Dias",2008,"Roubo de índios, fugas e ataques: O cenário de fronteira oeste","Anzai, Leny Caselli|Martins, Maria Cristina Bohn","Histórias coloniais em áreas de fronteiras: Índios, jesuítas e colonos","São Leopoldo, Brazil; Cuiabá, Brazil",OIKOS; EdUFMT,,,50–75,,,,9788578430641|8578430646|9788532703149|8532703143,,,http://worldcat.org/oclc/630685560,,,18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Colonialism|Foreign Missions -- Social History,South America -- Brazil,,,,,,,Portuguese,CULL|REVIEW
Book Chapter,"Blodgett, Edward Dickinson",2009,"Reports from la Nouvelle-France: The Jesuit Relations, Marie de l'Incarnation, and Élisabeth Bégon","Howells, Coral Ann|Krüller, Eva-Marie",The Cambridge History of Canadian Literature,"Cambridge, UK",Cambridge University Press,,,29–46,,,,9780521868761|0521868769,,,http://worldcat.org/oclc/286434758,,,16th century|17th century,Foreign Missions -- Primary Sources -- Reports|Foreign Missions -- History -- Regional|Foreign Missions -- Literature -- Linguistics,North America -- Canada,,,,,,,English,KEEP|REVIEW
Book Chapter,"Bloechl, Olivia",2012,Wendat Song and Carnival Noise in the Jesuit Relations,"Bellin, Joshua David|Mielke, Laura L.","Native Acts: Indian Performance, 1603–1832","Lincoln, NE",University of Nebraska Press,,,117–143,4,,,9780803226326|0803226322,,,http://www.worldcat.org/oclc/756280703,,,17th century,Foreign Missions -- Sources,North America -- Canada,,,,,,,English,KEEP|REVIEW
Book Chapter,"Blum, Paul Richard",2010,Francisco Suárez: Scholastic and Platonic Ideas of God,,Philosophy of Religion in the Renaissance,"Farnham, UK",Ashgate,,,163–176,10,,,9781409402626|1409402622,,,http://worldcat.org/oclc/630001427,,,16th century|17th century,Theology -- Scholasticism|Philosophy -- Religion,,"Suárez, Francisco, 1548–1617","The philosophy of religion is one result of the early modern Reformation movements, as competing theologies purported truth claims which were equal in strength and different in contents. Renaissance thought, from humanism through philosophy of nature, contributed to the origin of the modern concepts of God. This book explores the continuity of philosophy of religion from late medieval thinkers through humanists to late Renaissance philosophers, explaining the growth of the tensions between the philosophical and theological views. Covering the work of Renaissance authors, including Lull, Saluta.",,,,,English,CULL|REVIEW
Book Chapter,"Blum, Paul Richard",2010,A Jesuit Comedy on the Morality of Soldiers,"Günther, Hans-Christian|Robiglio, Andrea Aldo",The European Image of God and Man: A Contribution to the Debate on Human Rights,Leiden,Brill,,,345–354,,,,9789004193789|9004193782,,,http://worldcat.org/oclc/714568789,,,17th century|18th century,Arts -- Theater -- Comedy|Theology -- Moral,Europe -- Germany -- Dillingen|Europe -- Germany -- Augsburg,"Pontanus, Jacob, 1542–1626|Suárez, Francisco, 1548–1617|Toledo, Francisco de, 1532–1596|Possevino, Antonio, 1533–1611",,,,,,English,KEEP|REVIEW
Book Chapter,"Blum, Paul Richard",2014,Platonic References in Pererius's Comments on the Bible,"Lamanna, Marco|Forlivesi, Marco","Benet Perera (Pererius, 1535–1610): A Renaissance Jesuit at the Crossroads of Modernity / Benet Perera (Pererius, 1535–1610): Un gesuita rinascimentale al crocevia della modernità",Turnhout; Bari,Brepols; Pagina,,,,9,,,9782503550947|2503550940,,,http://worldcat.org/oclc/922694831,,,16th century,Philosophy -- Scholasticism|Theology -- Sources -- Plato|Theology -- Scholasticism|Theology -- Scripture,,"Perera, Benet, 1535–1610",,,,,,English,CULL|REVIEW
Book Chapter,"Boavida, Isabel",2007,"Etiopía, inventada o descubierta en Europa: Documentos","Aregay, Merid W.",,Madrid,Agencia Española de Cooperación Internacional,,,151–159,,,,848347025X|9788483470251,,,,http://dialnet.unirioja.es/servlet/libro?codigo=437458,,16th century|17th century,Foreign Missions -- Ethnography|Foreign Missions -- Natural History|Foreign Missions -- Primary Sources,Africa -- Ethiopia,"Páez, Pedro, 1564–1622",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Bobrick, Benson",2014,Tsar and Jesuit Debate the Faith,,Fearful Majesty: The Life and Reign of Ivan the Terrible,"Montpelier, VT",Russian Life Books,,,,,,,9781880100844|1880100843,,,http://worldcat.org/oclc/910621700,,,16th century,Foreign Missions -- Theology -- Faith|Foreign Missions -- History -- Regional|Foreign Missions -- Eastern Orthodox Church,Europe -- Russia,,,"Originally published: New York: Putnam, 1987.",,,,English,KEEP|REVIEW
Book Chapter,"Boenicke, Christina",2007,Das zehnte Buch der Musurgia universalis: Traditionalle und moderne Einflüsse im musikalischen Weltbild Kirchers,"Engelhardt, Markus|Heinemann, Michael",Ars magna musices: Athanasius Kircher und die Universalität der Musik; Vorträge des deutsch-italienischen Symposiums aus Anlass des 400. Geburtstages von Athanasius Kircher (1602–1680),"Laaber, Germany",Laaber,,,,,,,9783890076805|3890076807,,,http://worldcat.org/oclc/164113429,,,17th century,Arts -- Music|Musicology,,"Kircher, Athanasius, 1602–1680",,|Type of Work:  Conference publication,,,,German,CULL|REVIEW
Book Chapter,"Boer, Roland",2007,"Internal Conflict: Integralists, Jesuits and Modernists",,Criticism of Heaven: On Marxism and Theology,Leiden,Brill,,,234–239,,,,1281936251|9781281936257,,,http://worldcat.org/oclc/746575663,,,20th century,Marxism|Theology -- Marxism,Europe -- Italy,,"This volume consists of a critical commentary on the interactions between Marxism and theology in the work of the major figures of Western Marxism. It deals with the theological writings of Ernst Bloch, Walter Benjamin, Louis Althusser, Henri Lefebvre, Antonio Gramsci, Terry Eagleton, Slavoj and Theodor Adorno. In many cases, their theological writings are dealt with for the first time in this book. It is surprising how much theological material there is and how little commentators have dealt with it. Apart from the critical engagement with the way they use theology, the book also explores how their theological writings infiltrate and enrich their Marxist work. The book has three parts: Biblical Marxists (Bloch and Benjamin), Catholic Marxists (Althusser, Lefebre, Gramsci and Eagleton), and the Protestant Turn (and Adorno).",,,,,English,KEEP|REVIEW
Book Chapter,"Boer, Roland",2009,"Internal Conflict: Integralists, Jesuits and Modernists",,On Marxism and Theology,Chicago,Haymarket,,,234–239,,,,9781608461226|160846122X,,,http://worldcat.org/oclc/809469383,,,20th century,Controversies -- Modernism|Theology,,,,,,,,English,KEEP|REVIEW
Book Chapter,"Boer, Wietse de",2011,Invisible Contemplation: A Paradox in the Spiritual Exercises,"Melion, Walter S.|Enenkel, K. A. E.",Meditatio: Refashioning the Self; Theory and Practice in Late Medieval and Early Modern Intellectual Culture,Leiden,Brill,,,233–256,,,,9789004210561,10.1163/ej.9789004192430.i-440.64,,,http://booksandjournals.brillonline.com/content/books/10.1163/ej.9789004192430.i-440.64,,16th century|17th century|18th century|19th century|20th century,Ignatius of Loyola -- Spirituality|Ignatius of Loyola -- Spiritual Exercises|Spirituality -- Contemplation,,"Ignatius, of Loyola, Saint, c.1491–1556","Italo Calvino belonged to a generation of authors and critics whose work helped generate a wave of interest in what came to be called visual culture. This interest, subsequently expanded to include other forms of sense perception, has also led to a renewed scholarly attention for Jesuit spirituality and for the artistic, theatrical, and literary endeavors associated with it. As Calvino discussed the concept of compositio loci, he noted that Ignatius distinguished between visible meditation and an invisible variant. In contrast, the invisible contemplation was appropriate, for example, for the meditation of sins. As confession became an ever more sophisticated art, other classification systems were introduced. The most important was the Ten Commandments, but there were others as well: the gifts of the Holy Spirit, the works of mercy, the occupational sins, and also those of the five senses.",,,,,English,CULL|REVIEW
Book Chapter,"Boer, Wietse de",2016,The Early Jesuits and the Catholic Debate about Sacred Images,"Boer, Wietse de|Enenkel, K. A. E.|Melion, Walter S.",Jesuit Image Theory,Leiden; Boston,Brill,,,51–73,2,,,9789004319110|9789004319127,10.1163/9789004319127_003,,www.worldcat.org/oclc/942382416,http://booksandjournals.brillonline.com/content/books/b9789004319127_003,,16th century,Controversies -- Protestantism|Arts -- Images -- Sacred Images|Arts -- Art History,Europe,,,,,,,English,KEEP|REVIEW
Book Chapter,"Boersma, Hans",2012,Analogy of Truth: The Sacramental Epistemology of Nouvelle Théologie,"Flynn, Gabriel|Murray, Paul D.",Ressourcement: A Movement for Renewal in Twentieth-Century Catholic Theology,Oxford,Oxford University Press,,,157–72,,,,9780199552870|0199552878|9780198702085|0198702086,,,http://worldcat.org/oclc/751747533,,,20th century,Theology -- Sacraments|Philosophy -- Epistemology,Europe -- France,"Bouillard, Henri, 1908–1981",,,,,,English,CULL|REVIEW
Book Chapter,"Bogner, Daniel",2008,Folklore als Schicksal? Sinn und Praxis von Religion in den Spuren der 'formalité des pratiques',"Büttgen, Philippe|Jouhaud, Christian",Lire Michel de Certeau: La formalité des pratiques,Frankfurt am Main,Vittorio Klostermann,,,,,,,9783465040477|3465040473|3465040201|9783465040200,,,http://worldcat.org/oclc/244799170,,,20th century,Humanities -- Social Studies |Humanities -- Sociology -- Religion,,"Certeau, Michel de, 1925–1986",,,,,,German,CULL|REVIEW
Book Chapter,"Böhler, Dieter",2013,Die Bibel in den Geistlichen Übungen des Ignatius von Loyola und in der spirituellen Praxis des frühen Jesuitenordens,"Baier, Karl",Text und Mystik. Zum Verhältnis von Schriftauslegung und kontemplativer Praxis,Göttingen,V&R Unipress/Vienna University Press,,,,,,,9783847001164 |3847001167,,,,,,16th century|17th century,Spirituality -- Spiritual Exercises -- Bible,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,German,CULL|REVIEW
Book Chapter,"Böhm, Thomas",2006,Die Deutung der Kirchenväter bei Hans Urs von Balthasar: Der Fall Origenes,"Kasper, Walter",Logik der Liebe und Herrlichkeit Gottes: Hans Urs von Balthasar im Gespräch; Festgabe für Karl Kardinal Lehmann zum 70. Geburtstag,Mainz,Matthias Grünewald,,,64–75,,,,9783786726012|3786726019,,,http://worldcat.org/oclc/76873651,,,20th century,Theology -- Patristics,,"von Balthasar, Hans Urs, 1905–1988",,,,,,German,CULL|REVIEW
Book Chapter,"Boissonnat, Jean",2006,Teilhard and Globalization,"Meynard, Thierry",Teilhard and the Future of Humanity,New York,Fordham University Press,,,89–108,,,,9780823237098|0823237095|0823226905|9780823226900,,,,http://fordham.bepress.com/relig/3,,20th century|21st century,Philosophy -- Anthropology|History -- General|Philosophy -- Globalization|Philosophy -- Ethics,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,English,CULL|REVIEW
Book Chapter,"Boistel, Guy",2010,"Esprit Pezenas (1692–1776), jésuite, astronome et traducteur: Un acteur méconnu de la diffusion de la science anglaise en France au XVIIIe siècle","Fox, Robert|Joly, Bernard","Échanges franco-britanniques entre savants depuis le XVIIe siècle (""Franco-British Interactions in Science since the Seventeenth Century"")",Oxford,College Publications,,,,,,,9781848900028|1848900023,,,http://worldcat.org/oclc/710817704,,,17th century,Sciences -- Biography,Europe -- France|Europe -- UK -- England,,,"Proceedings of the international symposium ""Franco-British Interactions in Science Since the Seventeenth Century"" (Oxford, March 2006).",,,,French,CULL|REVIEW
Book Chapter,"Böll, Verena",2012,Die Jesuiten und die fehlgeschlagene Katholisierung der äthiopisch-orthodoxen Kirche,"Koschorke, Klaus",Etappen der Globalisierung in christentumsgeschichtlicher Perspektive/Phases of Globalization in the History of Christianity,Wiesbaden,Harrasowitz,,,157–170,,,,9783447066723|3447066725,,,http://www.worldcat.org/oclc/789642633,,,16th century|17th century,Foreign Missions,Africa -- Ethiopia,,,,,,The Jesuits and Their Unsuccessful Attempt to Catholicize the Ethiopian Orthodox Church,German,CULL|REVIEW
Book Chapter,"Bonfanti, Elvira|Carmagnani, Rossana",2007,Strumenti didattici: Una riflessione sul metodo ignaziano,"Barretta, Claudio|Denora, Vitangelo Carlo Maria",Pedagogia ignaziana e teologia,"Cinisello Balsamo, Italy",San Paolo,,,77–100,,,,8821560074|9788821560071,,,http://worldcat.org/oclc/174450442,,,16th century|17th century|18th century|19th century|20th century|21st century,Ignatius of Loyola -- Pedagogy|Education -- Teaching -- Theology -- Method,Europe -- Italy,,,,,,,Italian,CULL|REVIEW
Book Chapter,"Boot-Gnodde, Marjan",2011,De ignatiaanse methode,"Boot, Lex","Handboek christelijke meditatie. Vertrekpunten, wegen, vruchten",Zoetermeer,Boekencentrum,,,124–132,,,,9789023920342|9023920341,,,http://www.worldcat.org/oclc/758167658,,,16th century|21st century,Spirituality -- Spiritual Exercises -- Meditation,,,,,,,,Dutch,CULL|REVIEW
Book Chapter,"Borchart de Moreno, Christiana",2008,Adquisición y organización de los bienes jesuitas en la antigua provincia de Quito,"Moreno Egas, Jorge",Radiografía de la piedra: Los jesuitas y su templo en Quito,Quito,Fondo de Salvamento del Patrimonio Cultural de Quito,,,101–126,,,,9789978366035|9978366032,,,http://worldcat.org/oclc/321685187,,,19th century|20th century|21st century,Foreign Missions -- Archaeology|Foreign Missions -- History -- Local|Foreign Missions -- Social History|Foreign Missions -- Economy,South America -- Ecuador -- Quito,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Borja Gómez, Jaime Humberto",2014,Las virtudes de Pedro Claver,"Fabre, Pierre-Antoine|Cárdenas Ayala, Elisa|Borja Gómez, Jaime Humberto",La Compañía de Jesús en América Latina después de la restauración: Los símbolos restaurados,Bogota; Mexico City,Pontificia Universidad Javeriana; Universidad Iberoamericana Ciudad de México,,,,2,,,9786074172850|6074172854,,,http://worldcat.org/oclc/902864364,,,17th century,Saints and Blessed|Foreign Missions -- Biography|Foreign Missions -- Hagiography,Europe -- Spain,"Claver, Pedro, Saint, 1580–1654",,,,,,Spanish,CULL|REVIEW
Book Chapter,"Borja González, Galaxis",2005,Die jesuitsche Berichterstattung über die Neue Welt: Zur Verbreitungsgeschichte von Amerika-Nachrichten im Alten Reich am Beispiel der Briefe des Dominikus Mayer,"Meier, Johannes","Sendung – Eroberung – Begegnung: Franz Xaver, die Gesellschaft Jesu und die katholische Weltkirche im Zeitalter des Barock",Wiesbaden,Harrassowitz,,,355–82,,,,3447050985|9783447050982,,,http://worldcat.org/oclc/57285736,,,18th century,Foreign Missions -- Literature -- Letters|Foreign Missions -- Intercultural Dialogue,South America -- Peru|Europe -- Germany -- Swabia,,,,,,,German,CULL|REVIEW
Book Chapter,"Borja, Jaime",2010,Las virtudes y el sujeto colonial: De las vidas ejemplares barrocas a una instrucción ilustrada,"Chinchilla, Perla","Los jesuitas formadores de ciudadanos: La educación dentro y fuera de sus colegios, siglos XVI–XXI",Mexico City,Universidad Iberoamericana,,,25–64,,,,6074171114|9786074171112,,,http://worldcat.org/oclc/703280777,,,16th century|17th century|18th century|19th century|20th century|21st century,Foreign Missions -- Theology -- Moral|Foreign Missions -- Education -- Pedagogy -- Christian Life|Foreign Missions -- History of Books,North America -- Mexico,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Borja Medina, Francisco de",2007,Intrigues of a Scottish Jesuit at the Spanish Court: William Crichton's Mission to Madrid (1590–1592),"McCoog, Thomas M.","The Reckoned Expense: Edmund Campion and the Early English Jesuits: Essays in Celebration of the First Centenary of Campion Hall, Oxford, 1896–1996",Rome,Institutum historicum Societatis Iesu,,,,,,,9788870413601|8870413608,,,http://worldcat.org/oclc/172676877,,,16th century,Politics -- Court Life|History -- Regional,Europe -- Spain -- Madrid|Europe -- UK -- Scotland,"Crichton, William, c.1535–1617",,,,,,English,KEEP|REVIEW
Book Chapter,"Borja Medina, Francisco de",2007,Orígenes de la Provincia de Andalucía,"Soto Artuñedo, Wenceslao",Los jesuitas en Andalucía: Estudios conmemorativos del 450 aniversario de la fundación de la provincia,Granada,Universidad de Granada,,,49–162,,,,8433846000|9788433846006|9788492163281|8492163283,,,http://worldcat.org/oclc/184898179,,,16th century,History -- Regional|Government -- Provinces,Europe -- Spain -- Andalusia,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Borja Medina, Francisco de",2010,La quiebra del universalismo de la unión de los ánimos,"McCoog, Thomas M.",Ite inflammate omnia: Selected Historical Papers from Conferences Held at Loyola and Rome in 2006,Rome,Institutum Historicum Societatis Iesu,,,321–342,,,,9788870413724|8870413721,,,http://worldcat.org/oclc/690103404,,,16th century,Identity|Theology -- Missiology,,,,,,,,Spanish,CULL|REVIEW
Book Chapter,"Boryczka, Jocelyn M.|Petrino, Elizabeth A.",2012,'The Personal is Political': At the Intersections of Feminist and Jesuit Education,"Boryczka, Jocelyn M.|Petrino, Elizabeth A.",Jesuit and Feminist Education: Intersections in Teaching and Learning for the Twenty-First Century,New York,Fordham University Press,,,75–85,4,,,9780823233311|0823233316|9780823233328|0823233324,10.5422/fordham/9780823233311.003.0005,,,http://fordham.universitypressscholarship.com/view/10.5422/fordham/9780823233311.001.0001/upso-9780823233311-chapter-5,,21st century,Education -- Universities|Women,,,"This chapter maps out a general topography of points of convergence and divergence between feminist and Jesuit education. It draws out their relationship by exploring how the five central elements of Ignatian education—context, experience, reflection, action, and evaluation—relate to a feminist pedagogy premised on the idea that “the personal is political.” To describe how this connection can inform and transform educational practices, the chapter builds on the practical example of consciousness-raising and direct action projects employed in an Introduction to Feminist Thought course.",,,,,English,KEEP|REVIEW
Book Chapter,"Bosco, Mark",2007,Introduction,"Bosco, Mark|Stagaman, David","Finding God in All Things: Celebrating Bernard Lonergan, John Courtney Murray, and Karl Rahner",New York,Fordham University Press,,,1–14,,,,9780823228089|0823228088,,,http://worldcat.org/oclc/154762617,,,20th century,Theology|Biography -- Intellectual,,"Rahner, Karl, 1904–1984|Murray, John Courtney, 1904–1967|Lonergan, Bernard J. F., 1904–1984",,,,,,English,CULL|REVIEW
Book Chapter,"Bosc-Tiessé, Claire",2012,Walatta Petros (1593),"Akyeampong, Emmanuel Kwaku|Gates, Henry Louis",Dictionary of African Biography,Oxford,Oxford University Press,6,,,,,,9780195382075|9780199857258,,,,http://www.oxfordreference.com/view/10.1093/acref/9780195382075.001.0001/acref-9780195382075-e-2115,,16th century|17th century,Foreign Missions|Biography,Africa -- Ethiopia,,"Ethiopian female saint, founded several religious communities on Lake Tana’s islands and shore and opposed Jesuit missionaries at the Ethiopian...",,,,,English,CULL|REVIEW
