Reference Type,Author of Review,Year,Title of Review,Title of Journal,Volume,Issue,Page Range,Reviewed Author,Reviewed Editor,Reviewed Translator,Reviewed Title,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Book Review,"Capdevila, Luc",2009,Review of: Tras los Expulsos: Cambios demográficos y territoriales en el Paraguay después de la expulsión de los jesuitas,Nuevo Mundo Mundos Nuevos,76,,439,"Telesca, Ignacio",,,Tras los Expulsos: Cambios demográficos y territoriales en el Paraguay después de la expulsión de los jesuitas,,,1626-0252,,,https://nuevomundo.revues.org/57310,,18th century,Foreign Missions -- History -- Expulsion|Foreign Missions -- History -- Survival|Foreign Missions -- History -- Social History,South America -- Paraguay,,,,,,,French,CULL|REVIEW
Book Review,"Capizzi, Nunzio",2010,Review of: L'innocneza perduta del sapere in Karl Rahner,Gregorianum,91,1,187–188,"Mariani, Milena",,,L'innocneza perduta del sapere in Karl Rahner,,,0017-4114,,,,,20th century,Philosophy -- Epistemology|Theology -- Philosophy,,"Rahner, Karl, 1904–1984",,,,,,Italian,CULL|REVIEW
Book Review,"Capolino, Enrico",2013,Review of: El Papa Francisco: Claves de su pensamiento,Augustinus,58,230–231,237,"Fazio, Marino",,,El Papa Francisco: Claves de su pensamiento,,July,0004-802x,,,,,20th century|21st century,Papacy,South America -- Argentina,"Francis, Pope, 1936–",,,,,,Spanish,CULL|REVIEW
Book Review,"Carbajal López, David",2005,"Review of: Vicarios en entredicho: Crisis y desestructuración, 1749–1860",Historia y grafía,,24,260–269,"Torre Curiel, José Refugio de la",,,"Vicarios en entredicho: Crisis y desestructuración, 1749–1860",,,1405-0927,,,http://www.redalyc.org/articulo.oa?id=58922830011,,18th century|19th century,Foreign Missions -- History -- Regional -- Restoration|Foreign Missions -- History -- Regional -- Expulsion,North America -- Mexico,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Carbine, Rosemary P.",2013,Review of: Jesuit and Feminist Education: Intersections in Teaching and Learning for the Twenty-First Century,Teaching Theology and Religion,16,3,296–298,,"Boryczka, Jocelyn M.|Petrino, Elizabeth A.",,Jesuit and Feminist Education: Intersections in Teaching and Learning for the Twenty-First Century,,July,1467-9647,10.1111/teth.12058,,https://onlinelibrary.wiley.com/doi/abs/10.1111/teth.12058,,21st century,Education -- Universities -- Women,North America -- USA,,,,,,,English,KEEP|REVIEW
Book Review,"Carey, Patrick W.",2013,Review of: Avery Cardinal Dulles (SJ): A Model Theologian (1918– 2008),Salzburger theologische Zeitschrift,17,2,393–396,"Štĕch, František",,,Avery Cardinal Dulles (SJ): A Model Theologian (1918– 2008),,,1029-1792,,,,,20th century|21st century,Biography|Theology,North America -- USA,"Dulles, Avery, 1918–2008",,,,,,German,CULL|REVIEW
Book Review,"Carles Gassín, María del Mar",2012,Review of: Mujeres ignacianas,Sal terrae,100,6,579–580,,"Agúndez, Urbano Valero",,Mujeres ignacianas,,,0211-4569,,,,,16th century|17th century|18th century|19th century,Spirituality -- Women,Europe,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,CULL|REVIEW
Book Review,"Carlsmith, Christopher",2007,Review of: Working in the Vineyard of the Lord: Jesuit Confraternities in Early Modern Italy,Sixteenth Century Journal,38,1,291–292,"Lazar, Lance Gabriel",,,Working in the Vineyard of the Lord: Jesuit Confraternities in Early Modern Italy,,Spring,0361-0160|2326-0726,10.2307/20478349,,http://www.jstor.org/stable/20478349,,16th century|17th century,Spirituality -- Brotherhoods |History -- Regional,Europe -- Italy -- Rome,,,,,,,English,KEEP|REVIEW
Book Review,"Carlsmith, Christopher",2011,"Review of: The University of Mantua, the Gonzaga, and the Jesuits, 1584–1630",Archivum historicum Societatis Iesu,80,159,308–309,"Grendler, Paul F.",,,"The University of Mantua, the Gonzaga, and the Jesuits, 1584–1630",,,0037-8887,,,,,16th century|17th century,History -- Local|Education -- Universities|Politics,Europe -- Italy -- Mantua,,,,,,,English,KEEP|REVIEW
Book Review,"Carolino, Luís Miguel",2005,Review of: Universitá Accademie Gesuiti: Cultura e Religione a Padova tra Cinque e Seicento,History of Universities,20,1,186–187,"Sangalli, Maurizio",,,Universitá Accademie Gesuiti: Cultura e Religione a Padova tra Cinque e Seicento,,,0144-5138,,,,,16th century|17th century,Education -- Universities -- History -- Local|Education -- Colleges -- History -- Local,Europe -- Italy -- Padua,"Possevino, Antonio, 1533–1611",,,,,,English,CULL|REVIEW
Book Review,"Carr, Stephen",2008,Review of: Light in Darkness: Hans Urs von Balthasar and the Catholic Doctrine of Christ’s Descent into Hell,Theology,111,863,385–386,"Pitstick, Alyssa Lyra",,,Light in Darkness: Hans Urs von Balthasar and the Catholic Doctrine of Christ’s Descent into Hell,,September,0040-571X,10.1177/0040571X0811100515,,http://tjx.sagepub.com/content/111/863/385.full.pdf+html,,20th century,Theology -- Christology,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Carretero Calvo, Rebeca",2011,Review of: Arte y arquitectura conventual en la Tarazona de los siglos XVII y XVIII,Artigrama,26,,859–866,"Carretero Calvo, Rebeca",,,Arte y arquitectura conventual en la Tarazona de los siglos XVII y XVIII,,,0213-1498|2444-3751,,,http://www.unizar.es/artigrama/html_dig/26.html,,17th century|18th century,Architecture|Arts -- History -- Local,Europe -- Spain -- Zaragoza -- Tarazona,,,,,,,Spanish,CULL|REVIEW
Book Review,"Casad, Andrew",2012,Review of: The Missionary Strategies of the Jesuits in Ethiopia (1555–1632),Northeast African Studies,12,1,319–324,"Wiesbaden, Leonardo Cohen",,,The Missionary Strategies of the Jesuits in Ethiopia (1555–1632),,,1535-6574,10.1353/nas.2012.0011,,http://muse.jhu.edu/journals/northeast_african_studies/v012/12.1.casad.html,,16th century|17th century,Foreign Missions,Africa -- Ethiopia,,,Michigan State University Press,,,,English,KEEP|REVIEW
Book Review,"Casalini, Cristiano",2015,Review of: Vita del Cardinal Martini: Il Bosco e il Mendicante,Journal of Jesuit Studies,2,2,365–367,"Impalà, Enrico",,,Vita del Cardinal Martini: Il Bosco e il Mendicante,,,2214-1324|2214-1332,10.1163/22141332-00202007-22,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00202007-22,,20th century|21st century,Cardinals|Biography,Europe -- Italy,"Martini, Carlo Maria, 1927–2012",,,,,,English,KEEP|REVIEW
Book Review,"Casalini, Cristiano",2017,Review of: Cognitive Psychology in Early Jesuit Scholasticism,Journal of Jesuit Studies,4,3,505–507,,"Heider, Daniel",,Cognitive Psychology in Early Jesuit Scholasticism,,,2214-1324|2214-1332,10.1163/22141332-00403007-06,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00403007-06,,16th century,Philosophy -- Psychology|Philosophy -- Scholasticism|Philosophy -- History,,"Possevino, Antonio, 1533–1611|Ignatius, of Loyola, Saint, c.1491–1556|Tanner, Adam, 1572–1632|Suárez, Francisco, 1548–1617|Arriaga, Rodrigo de, 1592–1667|Vázquez, Gabriel, 1551–1604",,,,,,English,KEEP|REVIEW
Book Review,"Casarella, Peter J.",2006,Review of: The Cambridge Companion to Hans Urs van Balthasar,The Thomist,70,2,292–296,,"Oakes, Edward T.|Moss, David",,The Cambridge Companion to Hans Urs van Balthasar,,April,0040-6325,https://doi.org/10.1353/tho.2006.0021,,,,20th century,Theology |Biography -- Intellectual,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Cascardi, Anthony J.",2003,Review of: Humanidades y dignidad del hombre en Baltasar Gracián,Hispanic Review,71,2,276–278,"Egido, Aurora",,,Humanidades y dignidad del hombre en Baltasar Gracián,,,0018-2176|1553-0639,10.2307/3247194,,http://www.jstor.org/stable/3247194,,17th century,Literature -- History|Biography -- Intellectual|Literature -- Criticism|Philosophy -- Ethics,Europe -- Spain,"Gracián y Morales, Baltasar, 1601–1658",,,,,,English,CULL|REVIEW
Book Review,"Casey, Thomas G.",2008,Review of: Manifold Gifts: Ignatian Essays on Spirituality,Gregorianum,89,4,926,"Veale, Joseph",,,Manifold Gifts: Ignatian Essays on Spirituality,,,0017-4114,10.2307/23582296,,http://www.jstor.org/stable/23582296,,20th century,Spirituality -- Ignatius of Loyola,,"Veale, Joseph, 1921–2002",,,,,,English,CULL|REVIEW
Book Review,"Casey, Thomas G.",2015,Review of: Anthony deMello: The Happy Wanderer,Journal of Jesuit Studies,2,3,551–553,"DeMello, Bill",,,Anthony deMello: The Happy Wanderer,,,2214-1324|2214-1332,10.1163/22141332-00203005-25,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00203005-25,,20th century,Spirituality -- Biography|Foreign Missions -- Inculturation,Asia -- India,"De Mello, Anthony, 1931–1987",,,,,,English,KEEP|REVIEW
Book Review,"Castro, Secundino",2003,"Review of: Résurrection et nativité: Lecture théologique de Jean 20, 1–31",Estudios eclesiásticos,78,305,402–405,"Corbin, Michel",,,"Résurrection et nativité: Lecture théologique de Jean 20, 1–31",,April–June,0210-1610,,,,,20th century,Theology -- Scripture|Theology -- Christology,,"Corbin, Michel, 1936–",,,,,,Spanish,CULL|REVIEW
Book Review,"Catto, Michela",2009,Review of: Juan de Mariana and Early Modern Spanish Political Thought,Archivum historicum Societatis Iesu,78,156,576–579,"Braun, Harald Ernst",,,Juan de Mariana and Early Modern Spanish Political Thought,,July–December,0037-8887,,,,,16th century|17th century,Political Thought|History -- Regional|Philosophy -- Scholasticism,Europe -- Spain,"Mariana, Juan de, 1536–1624",,,,,,Italian,CULL|REVIEW
Book Review,"Catto, Michela",2010,"Review of: Il vero significato del ""Signore del Cielo",Archivum historicum Societatis Iesu,79,157,219–222,"Ricci, Matteo",,"Chiricosta, Alessandra","Il vero significato del ""Signore del Cielo",,January–June,0037-8887,,,,,16th century|17th century,Foreign Missions -- Writings|Foreign Missions -- Theology -- Linguistics -- Translations|Foreign Missions -- Inculturation,Asia -- China,"Ricci, Matteo, 1552–1610",,,,,,Italian,CULL|REVIEW
Book Review,"Cattoi, Thomas",2013,Review of: The Trinity and Theodicy: the Trinitarian Theology of Von Balthasar and the Problem of Evil,Theological Studies,74,1,212,"Friesenhahn, Jacob H.",,,The Trinity and Theodicy: the Trinitarian Theology of Von Balthasar and the Problem of Evil,,March,0040-5639,,,,,20th century,Theology -- Trinity,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Cebollada, Pascual",2013,Review of: Bohemia Jesuitca 1556–2006,Manresa,85,335,198–199,,"Cemus, Petronilla",,Bohemia Jesuitca 1556–2006,,April,0214-2457,,,,,16th century|17th century|18th century|19th century|20th century|21st century,History -- Regional,Europe -- Czech Republic,,,,,,,Spanish,CULL|REVIEW
Book Review,"Čemus, Richard",2013,Review of: Maximálni kfest'anstvi. Adolf Kajpr SJ a list Katolik,Archivum historicum Societatis Iesu,82,163,305–314,"Novotný, Vojtěch",,,Maximálni kfest'anstvi. Adolf Kajpr SJ a list Katolik,,January,0037-8887,,,,,,History -- Regional,Europe -- Czech Republic,,,,,,,Italian,CULL|REVIEW
Book Review,"Ceriotti, Luca",2005,Review of: I gesuiti e la Ratio studiorum,Nuova rivista storica,89,,558–562,,"Hinz, Manfred|Righi, Roberto|Zardin, Danilo",,I gesuiti e la Ratio studiorum,,,0029-6236,,,,,16th century|17th century,Education -- Colleges -- History |Education -- Pedagogy |Identity|Institute -- Ratio studiorum,Europe,,,,,,,Italian,CULL|REVIEW
Book Review,"Ceruzzi, Paul",2017,"Review of: Roberto Busa, S.J., and the Emergence of Humanities Computing: The Priest and the Punched Cards",Journal of Jesuit Studies,4,2,352–354,"Jones, Steven E.",,,"Roberto Busa, S.J., and the Emergence of Humanities Computing: The Priest and the Punched Cards",,,2214-1324|2214-1332,10.1163/22141332-00402008-19,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00402008-19,,20th century|21st century,Historiography -- Humanities|Media -- Digital |Biography,North America -- USA,"Busa, Roberto, 1913–2011",,,,,,English,KEEP|REVIEW
Book Review,"Cervantes, Fernando",2012,Review of: Gods of the Andes. An Early Jesuit Account of Inca Religion and Andean Christianity,Journal of Ecclesiastical History,63,4,823–824,"Hyland, Sabine",,,Gods of the Andes. An Early Jesuit Account of Inca Religion and Andean Christianity,,October,0022-0469|1469-7637,10.1017/S0022046912001194,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=8694270,,16th century,Foreign Missions -- Natives|Foreign Missions -- Religion,South America -- Peru,"Valera, Blas, 1551–1597",,,,,,English,KEEP|REVIEW
Book Review,"Cesareo, Francesco C.",2015,Review of: Paolo Sarpi: A Servant of God and State,Journal of Jesuit Studies,2,4,726–728,"Kainulainen, Jaska",,,Paolo Sarpi: A Servant of God and State,,,2214-1324|2214-1332,10.1163/22141332-00204008-16,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00204008-16,,16th century|17th century,History -- Local -- Expulsion -- Venetian Interdict|Historiography|Councils -- Trent|Controversies -- Venetian Republic,Europe -- Italy -- Venice,"Sarpi, Paolo, 1552–1623",,,,,,English,KEEP|REVIEW
Book Review,"Chadwick, Henry",2001,Review of: Universal Salvation: Eschatology in the Thought of Gregory of Nyssa and Karl Rahner,Theological Studies,52,2,971–972,,,,Universal Salvation: Eschatology in the Thought of Gregory of Nyssa and Karl Rahner,,October,0022-5185,,,,,20th century,Theology -- Soteriology|Theology -- Patristics,,"Rahner, Karl, 1904–1984",,,,,,English,KEEP|REVIEW
Book Review,"Chamorro Espinosa, David",2015,Review of: Diego Laínez (1512–1565) and his Generalate,Antiguos jesuitas en Iberoamérica,3,2,258–260,,"Oberholzer, Paul",,Diego Laínez (1512–1565) and his Generalate,,July–December,2314-3908,,,,,16th century,Generals -- Diego Laínez|History -- General|Government|Politics,Europe,"Laínez, Diego, 1512–1565",,,,,,Spanish,CULL|REVIEW
Book Review,"Chantraine, Georges",2010,"Review of: Pierre Teilhard de Chardin: Sa vie, son oeuvre, sa réflexion",Nouvelle revue théologique,132,2,283,"Boudignon, Patrice",,,"Pierre Teilhard de Chardin: Sa vie, son oeuvre, sa réflexion",,,0029-4845,10.3917/nrt.322.0282,,http://www.nrt.be/fr/Pierre-Teilhard-de-Chardin.-Sa-vie%2C-son-oeuvre%2C-sa-r%C3%A9flexion-recension-8445|http://www.cairn.info/revue-nouvelle-revue-theologique-2010-2-page-282.htm,,19th century|20th century,Biography -- Intellectual,,"Teilhard de Chardin, Pierre, 1881–1955",,,,,,French,CULL|REVIEW
Book Review,"Chapman, Mark",2011,Review of: George Tyrrell and Catholic Modernism,Journal of Theological Studies,62,1,405–407,,"Rafferty, Oliver",,George Tyrrell and Catholic Modernism,,April,1477-4607|0022-5185,10.1093/jts/flr003,,http://jts.oxfordjournals.org/content/62/1/405.short,,19th century|20th century,Politics|Controversies -- Modernism,Europe,"Tyrrell, George, 1861–1909",,,,,,English,CULL|REVIEW
Book Review,"Chapp, Larry S.",2003,Review of: No Bloodless Myth: A Guide Through Balthasar's Dramatics,Theological Studies,64,2,425–427,,,,No Bloodless Myth: A Guide Through Balthasar's Dramatics,,June,0040-5639,,,,,20th century,Theology -- Aesthetics|Theology -- Method,,"von Balthasar, Hans Urs, 1905–1988",,,,,,English,CULL|REVIEW
Book Review,"Charamsa, Krzysztof",2010,Review of: Las religiones no-cristianas a la luz de la Revelación: Estudio analítico de la propuesta metodológica de Jean Daniélou en vistas a la comprensión del problema histórico de las religiones,Alpha omega,13,3,464–467,"Bravo Pereira, Marcelo",,,Las religiones no-cristianas a la luz de la Revelación: Estudio analítico de la propuesta metodológica de Jean Daniélou en vistas a la comprensión del problema histórico de las religiones,,,1126-8557,,,,,20th century,Theology|Philosophy -- Religion -- Pluralism,,"Daniélou, Jean, 1905–1974",,,,,,Italian,CULL|REVIEW
Book Review,"Charles, John",2015,"Review of: Sin and Confession in Colonial Peru: Spanish-Quechua Penitential Texts, 1560–1650",Colonial Latin American Review,24,4,574,"Harrison, Regina",,,"Sin and Confession in Colonial Peru: Spanish-Quechua Penitential Texts, 1560–1650",,,1060-9164|1466-1802,10.1080/10609164.2016.1150046,,http://www.tandfonline.com/doi/full/10.1080/10609164.2016.1150046,,16th century|17th century,Foreign Missions -- Ministries -- Confession|Foreign Missions -- Theology -- Moral -- Casuistry|Foreign Missions -- Writings -- Linguistics -- Translations,South America -- Peru,"Acosta, José de, 1540–1600|Torres Rubio, Diego de, 1547–1638",,,,,,English,CULL|REVIEW
Book Review,"Charlier, Jean",2008,Review of: Ignace de Loyola et la spiritualité orientale,Revue théologique de Louvain,39,2,251–253,"Špidlík, Tomáš",,,Ignace de Loyola et la spiritualité orientale,,,0080-2654|1783-8401,10.2143/RTL.39.2.2029567,,http://poj.peeters-leuven.be/content.php?url=article&id=2029567&journal_code=RTL,,16th century,Ignatius of Loyola -- Spirituality,Europe|Asia,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,French,CULL|REVIEW
Book Review,"Châtellier, Louis",2006,Review of: L'armonia contesa: Identità ed educazione nell'Alsazia moderna,Histoire de l'education,,109,145–146,"Negruzzo, Simona",,,L'armonia contesa: Identità ed educazione nell'Alsazia moderna,,January,0221-6280,10.2307/41160213,,http://www.jstor.org/stable/41160213,,16th century|17th century|18th century,Education -- History -- Regional|Politics,Europe -- France -- Alsace,,,,,,,French,CULL|REVIEW
Book Review,"Chatterton, Jocelyn",2013,Review of: Europe in China--China in Europe: Mission as a Vehicle to Intercultural Dialogue,International Bulletin of Missionary Research,37,3,190,,"Widmer, Paul",,Europe in China--China in Europe: Mission as a Vehicle to Intercultural Dialogue,,July,0272-6122,,,,,18th century|19th century,Foreign Missions -- Inculturation,Asia -- China|Europe,"Stadlin, Franz Karl, 1777–1829|Sichelbart, Ignaz, 1708–1780",,,,,,English,CULL|REVIEW
Book Review,"Chatterton, Jocelyn",2015,Review of: Europe Meets China—China Meets Europe: The Beginnings of European-Chinese Scientific Exchange in the Seventeenth Century,International Bulletin of Missionary Research,39,4,237–238,,"Deiwiks, Shu-Jyuan|Fuhrer, Bernhard|Geulen, Therese",,Europe Meets China—China Meets Europe: The Beginnings of European-Chinese Scientific Exchange in the Seventeenth Century,,October,0272-6122,,,http://journals.sagepub.com/doi/pdf/10.1177/239693931503900420,,17th century,Foreign Missions -- Intercultural Dialogue|Foreign Missions -- History -- Regional|Foreign Missions -- Sciences -- History of Science,Asia -- China,"Schall von Bell, Johann Adam, c.1592–1666|Trigault, Nicolas, 1577–1628|Schreck, Johann (Terentius, Joannes), 1576–1630",,,,,,English,CULL|REVIEW
Book Review,"Chen, Hui-Hung",2007,Review of: Journey to the East: The Jesuit Mission to China,Reinassance Quarterly,60,4,1372,"Brockey, Liam Matthew",,,Journey to the East: The Jesuit Mission to China,,Winter,0034-4338,10.1353/ren.2007.0359,,http://www.jstor.org/stable/10.1353/ren.2007.0359,,16th century|17th century|18th century,Foreign Missions -- History -- Regional|Foreign Missions -- Travel,Asia -- China -- Beijing|Asia -- China -- Shanxi -- Yangtze Delta,,,,,,,English,KEEP|REVIEW
Book Review,"Chen, Hui-Hung",2010,Review of: The Missionary Strategies of the Jesuits in Ethiopia (1555–1632),Reinassance Quarterly,63,1,226–228,"Cohen, Leonardo",,,The Missionary Strategies of the Jesuits in Ethiopia (1555–1632),,Spring,0034-4338,,,http://www.jstor.org/stable/10.1086/652565,,16th century|17th century,Foreign Missions -- History -- Regional,Africa -- Ethiopia,,,,,,,English,KEEP|REVIEW
Book Review,"Chen, Hui-Hung",2012,"Review of: A Jesuit in the Forbidden City: Matteo Ricci, 1552–1610",Catholic Historical Review,98,1,182–183,"Hsia, R. Po-chia",,,"A Jesuit in the Forbidden City: Matteo Ricci, 1552–1610",,January,1534-0708,,,http://muse.jhu.edu/journals/catholic_historical_review/v098/98.1.chen.html,,16th century|17th century,Foreign Missions -- Biography,Asia -- China,"Ricci, Matteo, 1552–1610",,The Catholic University of America Press,,,,English,KEEP|REVIEW
Book Review,"Chen, Hui-Hung",2013,Review of: The Jesuit Mission to New France: A New Interpretation in the Light of the Earlier Jesuit Experience in Japan,Renaissance Quarterly,66,2,672–673,"Abé, Takao",,,The Jesuit Mission to New France: A New Interpretation in the Light of the Earlier Jesuit Experience in Japan,,Summer,0034-4338,10.1086/671645,,http://www.jstor.org/stable/10.1086/671645,,16th century|17th century,Foreign Missions,Asia -- Japan|North America -- Canada,,,,,,,English,KEEP|REVIEW
Book Review,"Chen, Janet Y.",2009,Review of: The Jacquinot Safe Zone: Wartime Refugees in Shanghai,International Journal of Asian Studies,6,2,235–236,"Ristaino, Marcia R.",,,The Jacquinot Safe Zone: Wartime Refugees in Shanghai,,,1479-5914,10.1017/S1479591409000230,,http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=6007880&fileId=S1479591409000230,,20th century,Foreign Missions -- Social Work -- Refugees|Foreign Missions -- History -- Local|Foreign Missions -- Biography,Asia -- China -- Shanghai,"Jacquinot de Besange, Robert, 1878–1946",,,,,,English,CULL|REVIEW
Book Review,"Chernela, Janet",2015,"Review of: Native Brazil: Beyond the Convert and the Cannibal, 1500–1900",Hispanic American Historical Review,95,3,504–507,,"Langfur, Hal",,"Native Brazil: Beyond the Convert and the Cannibal, 1500–1900",,,0018-2168|1527-1900,10.1215/00182168-3088644,,http://hahr.dukejournals.org/content/95/3/504.full,,16th century|17th century|18th century|19th century,Foreign Missions -- History -- Regional -- Cultural History|Foreign Missions -- Anthropology|Foreign Missions -- Ethnography,South America -- Brazil,,,,,,,English,CULL|REVIEW
Book Review,"Chevalier, Catherine",2013,"Review of: Vers un langage de l'altérité. Recherche sur le langage religieux en théologie catéchétique à partir d'une relecture de Michel de Certeau, PhD dissertation",Lumen vitae,68,1,99–101,"Marchant, Loreto Moya",,,"Vers un langage de l'altérité. Recherche sur le langage religieux en théologie catéchétique à partir d'une relecture de Michel de Certeau, PhD dissertation",,March,0024-7324,10.2143/LV.68.1.2967219,,http://poj.peeters-leuven.be/content.php?url=article&id=2967219&journal_code=LV,,20th century,Theology -- Catechism,,"Certeau, Michel de, 1925–1986",,,,,,French,CULL|REVIEW
Book Review,"Chevallier, Max-Alain",2008,Review of: Questions sur l’amour de Dieu,Revue d'histoire et de philosophie religieuses,88,4,551–552,"Surin, Jean-Joseph","Laux, Henri",,Questions sur l’amour de Dieu,,,0035-2403,,,http://www.rhpr.net/art/2008_4.html,,17th century,Spirituality -- Mysticism|Writings,,"Surin, Jean-Joseph, 1600–1665",,,,,,French,CULL|REVIEW
Book Review,"Chevallier, Max-Alain",2010,Review of: Guide spirituel pour la perfection,Revue d'histoire et de philosophie religieuses,90,1,111–112,"Surin, Jean-Joseph","Certeau, Michel de",,Guide spirituel pour la perfection,,,0035-2403,,,http://www.rhpr.net/art/2010_1.html,,17th century,Spirituality -- Writings |Spirituality -- Mysticism|Spirituality -- Contemplation,,"Surin, Jean-Joseph, 1600–1665|Certeau, Michel de, 1925–1986",,,,,,French,CULL|REVIEW
Book Review,"Chia, Lucille",2015,"Review of: From Woodblocks to the Internet: Chinese Publishing and Print Culture in Transition, circa 1800 to 2008","East Asian Science, Technolgy, and Medicine",41,,106–112,,"Brokaw, Cynthia Joanne|Reed, Christopher A.",,"From Woodblocks to the Internet: Chinese Publishing and Print Culture in Transition, circa 1800 to 2008",,,1562-918X,,,http://www.eastm.org/index.php/journal/article/view/723,,19th century,Foreign Missions -- Cultural Activities -- Printing|Foreign Missions -- History of Books|Foreign Missions -- History -- Regional -- Intellectual History,Asia -- China,"Li, Wenyu, 1840–1911",,,,,,English,CULL|REVIEW
Book Review,"Childers, William",2011,Hispanic Casuistry Studies: Room to Grow,Hispanic Review,79,2,317–326,Hilaire Kallendorf|Elena del Río Parra,,,Conscience on Stage: The Comedia as Casuistry in Early Modern Spain|Cartografías de la conciencia española en la Edad de Oro,,Spring,1553-0639,10.1353/hir.2011.0021,,http://muse.jhu.edu/journals/hispanic_review/v079/79.2.childers.html,,16th century|17th century,Cultural Activities -- Arts -- Theater|Theology -- Moral -- Casuistry,Europe -- Spain,"Suárez, Francisco, 1548–1617|Vázquez, Gabriel, 1551–1604",,University of Pennsylvania Press,,,,English,CULL|REVIEW|BRMULT
Book Review,"Childs, Gregory",2017,Review of: Freedom by a Thread: The History of Quilombos in Brazil,Journal of Jesuit Studies,4,4,714–716,,"Reis, João José|Gomes, Flávio dos Santos",,Freedom by a Thread: The History of Quilombos in Brazil,,,2214-1324|2214-1332,10.1163/22141332-00404008-12,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00404008-12,,17th century|18th century|19th century,Foreign Missions -- Indigenous People|Foreign Missions -- History -- Regional,South America -- Paraguay|South America -- Brazil|South America -- Uruguay|South America -- Argentina,"Benci, Giorgio, c.1650–1708|Fernandes, Manuel, 1615–1693",,,,,,English,KEEP|REVIEW
Book Review,"Cholvy, Brigitte",2011,"Review of: La foi au Dieu des chrétiens, gage d’un authentique humanisme. Henri de Lubac face à l’humanisme athée",Transversalités,,117,206–207,"Dung, François-Xavier Nguyen Tien",,,"La foi au Dieu des chrétiens, gage d’un authentique humanisme. Henri de Lubac face à l’humanisme athée",,January,1286-9449,,,,,20th century,Theology,Europe -- France,"de Lubac, Henri, 1896–1991",,,,,,French,CULL|REVIEW
Book Review,"Cholvy-Baldet, Brigitte",2015,Review of: Lettres de M. Etienne Gilson adressées au P. de Lubac et commentées par celui-ci,Journal of Jesuit Studies,2,3,541–543,"Gilson, Etienne|Lubac, Henri de",,,Lettres de M. Etienne Gilson adressées au P. de Lubac et commentées par celui-ci,,,2214-1324|2214-1332,10.1163/22141332-00203005-22,,http://booksandjournals.brillonline.com/content/journals/10.1163/22141332-00203005-22,,20th century,Theology|Philosophy|Primary Sources -- Letters|Biography,,"de Lubac, Henri, 1896–1991",,,,,,English,KEEP|REVIEW
Book Review,"Chu, Pingyi",2006,Review of: Liangtoushe: Mingmo qingchu de diyidai tianzhu jiaotu,Xin shixue,17,2,251–255,"Huang, Yi-long",,,Liangtoushe: Mingmo qingchu de diyidai tianzhu jiaotu,,,1023-2249,,,http://saturn.ihp.sinica.edu.tw/~huangkc/nhist/17-2C.html,,16th century|17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Converts,Asia -- China,,,Journal title: 新史學 [New History],,祝平一,"Review of Two-headed snakes: The first generations of Chinese Christian converts in the late Ming and early Qing, by Huang Yi-long",Chinese,CULL|REVIEW
Book Review,"Chu, Pingyi",2012,"Review of: History of Mathematical Sciences: Portugal and East Asia III: The Jesuits, the Padroado and East Asian Science (1552–1773)","East Asian Science, Technology, and Medicine",36,,212–216,,"Saraiva, Luís|Jami, Catherine",,"History of Mathematical Sciences: Portugal and East Asia III: The Jesuits, the Padroado and East Asian Science (1552–1773)",,,1562-918X,,,http://www.eastm.org/index.php/journal/article/view/615,,16th century|17th century|18th century,Foreign Missions -- Sciences -- Mathematics|Sciences -- Mathematics,Europe -- Portugal|Asia -- China,,,,,,,English,KEEP|REVIEW
Book Review,"Chu, Pingyi",2013,Review of: Sojourners in a Strange Land: Jesuits and Their Scientific Missions in Late Imperial China,Annals of Science,70,4,562–564,"Hsia, Florence C.",,,Sojourners in a Strange Land: Jesuits and Their Scientific Missions in Late Imperial China,,,0003-3790,10.1080/00033790.2011.614008,,http://www.tandfonline.com/doi/abs/10.1080/00033790.2011.614008,,17th century|18th century,Foreign Missions -- Sciences,Asia -- China,,,,,,,English,KEEP|REVIEW
