Reference Type,Author,Year,Title,Place Published,University,Number of Pages,Thesis Type,ISBN,WorldCat URL,University URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Language,Editing Tags
Dissertation,"Ferretti, Alexandra Stewart",2015,'Make several kingdoms of this monarchy': Place and Identity in Early Modern Drama,,University of Alabama,200,PhD diss.,,,http://purl.lib.ua.edu/127938,,,Arts -- Theater -- Drama|Politics|History -- Regional,,"Certeau, Michel de, 1925–1986","In the phenomenological theory of space and place, best articulated by Yi-Fu Tuan, Edward Casey, J. E. Malpas, and Michel de Certeau, an individual's experiences inscribe a space (or an undifferentiated area) and make it a place; that place and those experiences contribute to an individual's identity. In applying this theory to early modern English drama, I contend that we can better understand how Elizabethan and Jacobean playwrights responded to the displacement of the English population, as many provincial English moved to London and acquired new physical and social places. Elizabethan playwrights Thomas Kyd and Christopher Marlowe suggest physical place is essential to a character's identity. For later playwrights like William Shakespeare and Ben Jonson, however, physical place is significant but not as central. Instead, as phenomenological theorists posit, place and experiences both contribute to identity.","|Advisor:  O'Dair, Sharon",,English,CULL|REVIEW
Dissertation,"Figoureux, Loïc",2010,Henri de Lubac et le Concile Vatican II (1960–1965),Lille,Université Charles de Gaulle,448,PhD diss.,,http://worldcat.org/oclc/758897426,,,20th century,Theology -- Biography|Councils -- Vatican II,Europe -- Italy -- Rome,"de Lubac, Henri, 1896–1991","En 1960, le jésuite français Henri de Lubac est nommé consulteur de la commission théologique préparatoire du concile Vatican II. C'est pour lui un tournant, car cette nomination apparaît comme une réhabilitation pour un théologien longtemps suspecté d'incliner vers une résurgence du modernisme. Pourtant, il se considère comme un otage dans une commission largement dominée par le Saint-Office, et qui ne porte pas le renouveau qu'il désirait avec ardeur. Quand le concile commence véritablement, il se réjouit alors du tour pris par les événements, qui aboutissent à un large rejet des schémas préparatoires. Henri de Lubac est alors un homme en vue, tant ses travaux théologiques semblent être, avec d'autres, une préparation de l'aggiornamento. Pourtant, par tempérament, par prudence, mais aussi parfois à cause de la maladie, il reste, tout au long du concile, peu intégré à la mécanique conciliaire qui fabrique les textes. Au fur et à mesure des quatre sessions, il balance entre l'espoir du renouveau et les craintes de voir le concile mal compris, surtout en ce qui concerne les questions de relations entre l'Eglise et le monde, notamment en raison d'une crise spirituelle qu'il discerne, tout spécialement en France et dans la Compagnie de Jésus. Reste tout de même l'influence de l'œuvre du Père de Lubac sur l'œuvre conciliaire, difficile à mesurer, parce qu'elle se confond avec celle d'autres théologiens, soucieux comme lui de redonner à la théologie un fondement christologique et un respect du Mystère.||In 1960, the French jesuit Henri de Lubac became consultor to the Preparatory theological commission of the Second Vatican council. It was a turning point for him, because this appointment was understood as a rehabilitation. He was indeed, for a long time, suspected to be a neo-modernist theologian. Though, he thought he was an hostage in a commission which was dominated by the Holy Office to a large extent, and which did not promote the renewal he was waiting for eagerly. When the council began really, he was really satisfied by the events that led to a large rejection of the preparatory texts. Henri de Lubac was then a well-known man because of his books and articles which were like a preparation of the Second Vatican council. Through, because of the illness sometimes, of his character, and of his caution will, he remained, during the whole council, not really inserted in the networks that made the texts. As the council went along, Henri de Lubac was both happy of the aggiornamento, and worried about a possible misunderstanding of the council, especially about the Church and world relation. Indeed, he thought this misunderstanding was made easier by the spiritual crisis which grew up in France, according to him, and especially in the Company of Jesus. However that may be, Henri de Lubac has had an influence on this council by his books and articles, even if it is quite difficult to measure, because it is mixed with the influence of other theologians who wanted, like him, to promote a christological theology, which would have more respect for the Mystery.","Résumés en français et en anglas.|Academic Department:  History|Advisor:  Prévotat, Jacques",,French,CULL|REVIEW
Dissertation,"Filous, Joseph A.",2009,The Challenge of Toleration: How a Minority Religion Adapted in the New Republic,"University Heights, OH",John Carroll University,61,MA thesis,,,http://collected.jcu.edu/masterstheses/4/,,18th century|19th century,Foreign Missions -- History -- Regional|Foreign Missions -- Politics|Foreign Missions -- Accommodation,North America -- USA,"Carroll, John, 1735–1815","This thesis examines the early American Catholic Church and how its first bishop, John Carroll, guided it through the first years of the American republic. The struggles Carroll faced were the legacy of the English heritage of the colonies. English Catholics who shaped colonial Catholic life made the community private and personal in response to the religious atmosphere in the English world. The American Revolution brought toleration for Catholics and they struggled to adapt their hierarchal religion to new republican language. Some congregations went as far as to deny episcopal power, a theory known as trusteeism. Different interpretations struggled to gain prominence and the issue was not resolved until decades after Carroll’s death in 1815. Yet the Church he left behind provided a strong base for later immigrants who nonetheless dramatically changed the face of the American Catholic Church.","|Advisor:  Robinson, David",,English,CULL|REVIEW
Dissertation,"Finch, Karen Petersen",2009,Knowledge that Divides: Reformed-Catholic Dialogue and the Challenge of Epistemology,"Spokane, WA",Gonzaga University,461,PhD diss.,,http://worldcat.org/oclc/631951640,,,20th century,Protestantism|Theology -- Interreligious Dialogue|Theology -- Epistemology,,"Lonergan, Bernard J. F., 1904–1984",,|Academic Department:  Theology,,English,CULL|REVIEW
Dissertation,"Finet, Thibault",2012,"Jean Pierron (1631–1700): Missionnaire, diplomate et peintre en Amérique",,University of Montreal,,MA thesis,,,https://papyrus.bib.umontreal.ca/xmlui/bitstream/handle/1866/9659/Finet_Thibault_2012_memoire.pdf?sequence=7,,17th century,Foreign Missions -- Politics |Foreign Missions -- Arts -- Painting |Biography,North America -- USA -- New York,"Pierron, Jean, 1631–1700","La présente recherche se propose de retracer la vie et l’œuvre du père jésuite Jean Pierron (1631–1701), qui, venu de Lorraine, a contribué à la réouverture des missions iroquoises en Nouvelle-France. Arrivé dans la colonie en juin 1667, Pierron, se fit introduire auprès des populations autochtones par Jean Talon, après quoi il eut en charge un territoire d'environ une demi-douzaine de villages agniers de la vallée de l'Hudson. Après avoir livré ses premières impressions, le jésuite mit au point son programme apostolique, faisant appel à une méthode « audio-visuelle » fondée sur le dessin didactique. Mais le jésuite fut aussi un formidable voyageur, qui se rendit non seulement en Iroquoisie, mais aussi en Nouvelle-Angleterre. Il semble bien que ce soit grâce à de précieux réseaux de connaissances en dehors de ceux de la Compagnie de Jésus qu'il put entreprendre un tel voyage. La biographie de ce issionnaire-polyglotte, diplomate et peintre, souligne entre autre choses, l’importance du contexte stratégique et politique plus vaste des missions françaises en Amérique au XVIIe siècle. ||The following study is devoted to the Jesuit father Jean Pierron (1631–1701). Arriving from Lorraine in 1667, Pierron participated in the Catholic mission to the Mohawk of the Hudson Valley, after being formally introduced to delegates of this nation by the intendant Jean Talon. Working in a half-dozen villages, Pierron designed an audiovisual method of conversion based upon didactic drawings and paintings. The missionary was also an energetic traveller, both within Mohawk territories and to the English colonies. These journeys point to Pierron’s earlier experiences and more precisely, to the network of contacts he seems to have developed in Europe. In sum, the life of this polyglot missionary, diplomat and painter underscores the importance of the broader strategic and political context of the Jesuit missions.",,,French,CULL|REVIEW
Dissertation,"Fitterer, Robert J.",2004,Bernard Lonergan's Cognitive Theory and Aristotelian Phronesis: Toward a Conception of Performative Objectivity in Virtue Ethics,,University of British Columbia,,PhD diss.,,,http://circle.ubc.ca/handle/2429/15894,,,Philosophy -- Ethics|Philosophy -- Theory of Knowledge,,"Lonergan, Bernard J. F., 1904–1984","Virtue ethics bases moral decision-making, in part, in a skills-like ability to spot morally salient features in the phenomenal world. Aristotle, an exemplar of such ethics, developed a theory of practical wisdom (phronesis) wherein the person of moral expertise makes sound ethical judgments and decisions via direct insight into concrete circumstances. Phronesis involves emotive discernment and agent-relative construal of the world. But emotions and perspectives can also be linked with bias and poor judgment. How are we to think about objectivity if virtue ethics relies upon such apparently subjective factors as emotively influenced dispositions? Bernard Lonergan developed a theory of insight-based human understanding and explores its operation in the concrete circumstances of practical living. His theory offers a process of human learning and knowing that does not avoid emotions and agent-perspectives but seeks to so operate within these factors as to produce a state we could validly call 'being objective.' Agreeing with Aristotle on a key role for emotions, Lonergan goes much further in claiming that some mode of the emotion of love should play a critical role in attaining the insights required for virtue ethics. His treatment of love, however, remains vague. Martha Nussbaum, on the other hand, provides very rich treatment of how love, understood as compassion, can act as a control for perspectival discernment and moral insight. Her theory fills out Lonergan's, allowing us more clearly to see how love (and other emotions) could be conducive to fostering objective viewpoints within morally charged circumstances. Objectivity in virtue ethics can be understood, then, to be what we are more or less attaining to the degree that we self-consciously apprehend and deploy our innate modes of insight-induction and aim these cognitive processes toward a world construed by a background concern of care and compassion.",|Academic Department:  Philosophy,,English,CULL|REVIEW
Dissertation,"Font Oporto, Pablo",2014,Límites de la legitimidad del poder político y resistencia civil en Francisco Suárez,,Universidad de Sevilla,605,PhD diss.,,,,,,Political Thought|Philosophy -- Law,,"Suárez, Francisco, 1548–1617","El pensamiento de Francisco Suárez (1548–1617) constituye un elemento fundamental e ... Para Suárez el poder político reside originaria y naturalmente en la comunidad, pero ésta puede transferirlo a otro titular. El poder político surge para la realización del bien común y es ésta la finalidad que debe orientar la acción del gobernante; de otro modo es legítima la resistencia. Ahora bien, Suárez desvincula el origen popular del poder del derecho de resistencia: el hecho de que el poder proceda del pueblo no significa que éste pueda recuperarlo ni limitarlo arbitrariamente una vez transferido. Lo que sí retiene el pueblo es el derecho natural a la legítima defensa y, por lo tanto, la resistencia al tirano. La persecución del bien común en las particulares circunstancias del caso concreto determina en Suárez la aceptación de la resistencia, así como las condiciones, límites y fines de ésta. La resistencia a la tiranía supone en Suárez un importante límite fáctico y no institucional al poder político. Es más, en el plano de los hechos, la resistencia civil operaría en el sistema político suareciano a modo de medio de control democrático no institucionalizado del poder político. En un plano más institucional Suárez sostiene que el tirano mal gobernante con justo título puede ser depuesto mediante sentencia emitida por la comunidad, o bien por el papa. Los presupuestos del pensamiento político suareciano, unidos a la finalidad del mismo (búsqueda del bien común efectivo) conforman un enfoque pragmático-fáctico que busca una justicia material que se concreta en la realidad histórica del sujeto social y de la comunidad en que éste se inserta. Como consecuencia, en el sistema político suareciano las respuestas concretas son secundarias. Y, en segundo lugar, la búsqueda del bien común efectivo y real desde la adaptabilidad que le permite su enfoque conduce a Suárez a la aceptación de la resistencia civil. Este enfoque supera la ideologización abstracta moderna. El objeto, propósito, enfoque y, sobre todo, la metodología del presente trabajo de investigación han determinado que se haya seguido el siguiente esquema, que presentamos sumariamente al lector. En el capítulo primero se aborda brevemente la vida y obra de nuestro autor, las realidades contextuales que permiten situar ambas y las diferentes visiones interpretativas desde las que cabe entenderlo. En el capítulo segundo se intenta ofrecer sucintamente un breve relato de los hitos históricos más relevantes de la cuestión de la resistencia antes de Suárez, así como del importante desarrollo que este tema tuvo en los tiempos inmediatamente precedentes a este autor. Adicionalmente, se alude al contexto histórico concreto que mueve a Suárez a escribir de manera más extensa sobre esta materia. En el capítulo tercero se procura esbozar las líneas fundamentales del pensamiento político suareciano que están vinculadas con la resistencia a la tiranía. En el capítulo cuarto se trata la resistencia tal como aparece en la obra de Suárez, comentando diversas cuestiones a modo de glosa aclarativa e interpretativa. En el capítulo quinto exponemos nuestra interpretación sobre el significado de la resistencia y su conjugación con la noción de poder político en Suárez.","|Advisor:  Senent de Frutos, Juan Antonio|Margenat Peralta, Josep María",,Spanish,CULL|REVIEW
Dissertation,"Ford, Joshua M.",2011,Dialectic versus Dogmatic: A Lonerganian Analysis of a Twelfth Century Debate,"Crestwood, NY",St. Vladimir's Orthodox Theological Seminary,71,MDiv diss.,,http://www.worldcat.org/oclc/826025281,,,20th century,Theology -- Dogmatic |Theology -- Dialectic,,"Lonergan, Bernard J. F., 1904–1984",,,,English,CULL|REVIEW
Dissertation,"Fourès-Legrand, Gaëlle",2007,"L'Écriture maritime dans les 'Journaux' et ""Relations d'un voyage aux Indes orientales"" de 1690–1691 de Robert Challe, Pouchot de Chantassin, P. Lenfant, le Père Charmot, le Père Tachard et Du Quesne-Guitton",Brest,Université de Bretagne occidentale,,PhD diss.,,,,,17th century,Foreign Missions -- Literature -- Literary Criticism|Foreign Missions -- Writings -- Relations|Foreign Missions -- Writings -- Journals,Asia -- India,,"Témoins privilégiés et inédits, les « Journaux » et les « Relations d’un voyage aux Indes orientales » de 1690 offrent une source inépuisable de renseignements sur les conditions d’existence des hommes de mer à la fin du XVIIe siècle. En effet, en 1690 le jeune officier de plume Robert Challe, les gardes de la Marine Pouchot de Chantassin et Lenfant, le sociétaire des Missions Etrangères le père Charmot et le jésuite père Tachard décrivent de manière très réaliste la vie quotidienne à bord du premier armement mixte français armé pour la Compagnie des Indes orientales et pour Louis XIV. La navigation, les batailles navales, les tempêtes, les conflits politiques et commerciaux et le monde exotique découvert ou entrevu à terre constituent la trame d’un véritable protocole descriptif. En 1721, en revanche, l’imprimé du Challe vieillissant se métamorphose en un véritable roman de la mer. L’étude de l’écriture maritime a une nouvelle fois mis en relief toute l’ambiguïté de la narration viatique.| |A crucial and hitherto unpublished insider’s account of the living conditions of seafarers in te late 17 century, the diaries and relations of a travel in East India in 1690 offer a wealth of information and resources on the subject. Young officer Robert Challe, navy guards Pouchot de Chantassin and Lenfant, Father Charmot — member of les Missions Etrangères (Foreign Missions) — and a Jesuit priest, Father Tachard give us a realistic description of everyday life on the first French watercraft armed for the East India Company (the Compagnie des Indes Orientales) and Louis XIV. Seafaring, battles, storms, political strife and trade wars, together with the discovery of an exotic world “discovered” for the first time, make up the thread of te narrative. Later, in an account dated 1721, however, the ageing Challe’s narrative style is found to have evolved into novel-writing. This specific study of maritime writing thus shows once more the ambiguity of any travel narrative.","|Academic Department:  French Literature|Advisor:  Balcou, Jean",,French,CULL|REVIEW
Dissertation,"Frainais-Maitre, Marie-Julie",2010,Réception et représentation de la philosophie chinoise du seizième au vingt-et-unième siècle: Le rythme latin de l'Antiquité au haut Moyen-Age,"Lyons, France",Université Jean Moulin,453,PhD diss.,,,,,,Foreign Missions -- Philosophy|Foreign Missions -- Linguistics -- Translations -- Latin,Europe -- France|Asia -- China,,"La philosophie chinoise n'est pas reconnue, voire méconnue par les philosophes français du vingt-et-unième siècle. Ils lui refusent le qualificatif de philosophie pour la classer dans les sagesses, pensées et spiritualités. Notre étude tente de comprendre cet état de fait en cherchant l'origine de la représentation de cette autre philosophie à travers les siècles jusqu'à sa réception en France permise par les missionnaires jésuites au seizième siècle. Il s'avère que la représentation des philosophes français de la philosophie chinoise est un héritage orientaliste que se sont transmis les savants et philosophes français à partir d'une vision déformée, biaisée et réductrice de la Chine et de sa philosophie élaborée par les Jésuites. Ce problème de l'existence de la philosophie chinoise ne peut se comprendre que si on l'insère dans l'idéologie eurocentriste et orientaliste qui caractérise la philosophie, à la lumière de la colonialité intellectuelle qui régit l'épistémologie traditionnelle en la morcelant.||Chinese Philosophy is little known in France and is not officially recognized by twenty-first century French philosophers. They do not consider Chinese philosophy as a philosophy but regard its contributions as wisdoms, thoughts or spiritualities. My study attempts to understand this fact by identifying the emergence of such representation across several centuries and starts with its reception in France through Jesuit missionaries in the sixteenth century. This thesis argues that French philosophers' representation of Chinese philosophy is an Orientalist legacy that French philosophers and scholars have built from a distorted, biased and reductionist view of China and its philosophy as formulated by the Jesuits. This problem of the existence of Chinese philosophy can only be understood if it is approached in relation to the eurocentric and Orientalist ideology that characterizes philosophy and addressed through the intellectual coloniality that dominates traditional epistemology by deconstructing it.","|Academic Department:  Philosophy|Advisor:  Pinchard, Bruno|Lee, Gregory B.",,French,CULL|REVIEW
Dissertation,"Franco, Albert Lucas",2010,An Education for Positive Peace: A Study of the Influence of the Jesuit Educational Model of the Casa de la Solidaridad Immersion Program,Oslo,University Of Oslo,111,MA thesis,,http://worldcat.org/oclc/702139321,,,21st century,Foreign Missions -- Education -- Institutions -- Pedagogy|Foreign Missions -- Education -- Programs -- Peace,North America -- El Salvador -- San Salvador,,"This research paper begins with the thematic research question: Is the Casa de la Solidaridad (Casa) educational model a form of peace education, and to what extent does this model contribute to the formation of agents of positive peace? I hypothesize that the Jesuit educational model of the Casa program is a form of peace education that contributes to the formation of agents of positive peace (social justice). To test this hypothesis, I begin by exploring the theoretical links between Chadwick Alger’s model of peace education and the Jesuit educational model of the Casa program. I then explore student perceptions of the impact of the Casa program on their personal development and on their long-term commitment to promoting positive peace by asking two additional questions: (A) How does participation in the Casa de la Solidaridad program influence student understanding of the program’s three key educational goals: (1) education for justice, (2) men and women for others, and (3) global citizenship? (B) How have these three goals (education for justice, men and women for others, and global citizenship), if at all, influenced students’ vocational choices after their completion of the program?|To explore the impact of the program on student development, I used a descriptive case study model. To gain insights into the effects of the Casa experience on students, I conducted 24 interviews primarily using in-depth questionnaires to gather my data. To develop a thick description of the Casa experience, I used both theoretical insights and coding methods.|The findings showed that respondents felt they were profoundly impacted by their experience in the Casa program. In particular, the direct experience in Salvadoran communities through their praxis placement produced a deep sense of solidarity and generated a yearning, and in many cases a feeling of responsibility, to use their vocation as a means of advancing social justice. Based on my findings, I conclude that the Jesuit educational model of the Casa program is contributing to the formation agents of positive peace through a form of peace education.","|Advisor:  Rodriguez, Jeanette",,English,KEEP|REVIEW
Dissertation,"Frank, Patricia",2015,The Ends of Aloneness: Scenes of Solitude in Nineteenth-Century Fiction,,University of Wisconsin,,PhD diss.,,,http://digital.library.wisc.edu/1711.dl/WAHA3362WWHD48Z,,,Literature -- Spirituality|Literature -- Novels,Europe -- UK -- England,"Hopkins, Gerard Manley, 1844–1889","The Ends of Aloneness explores the role of solitude in nineteenth-century realist novels, arguing for the import of its radically partial nature. In doing so, it seeks to split a gap between Foucault's ideas about nineteenth-century life and Ian Watt's account of the novel genre's rise. It claims that in the first instance, it is easy to feel that distance is compromised, through social surveillance, only disempoweringly; while in the second, it is easy to read aloneness as public triumph as the basis of an ethos of economic independence. It therefore studies texts from the era that admit that being alone cannot be ''pure'' in modern times, yet which show that partialness in solitude can be a boon, helping subjects mediate the plural demands of modernity. Building on the scholarship of Jeff Nunokawa, Christopher Lane, and Amanda Anderson, the current study departs from it by not privileging solitude that implies a rare event, but rather, attends to the mundane. Focusing respectively on women's time, women's space, and economic organization of women's time and space, the first three chapters make a case for reading a trio of prominent texts—Persuasion, Villette, and The Odd Women—through an undernoted support for women's right to withdrawal. As for Dickens's Our Mutual Friend, it shows women gaining ground through co-opting alienation, yet cannot keep from wanting to contain female cleverness as a rule, making it resist and bolster strains of social hypocrisy. Notably, each novel here crafts an ending that rewards strong solitaries with affection. Without erasing solo resilience, they imagine solitaries ''alone together'' in relations that take cues from canny ways of navigating self and world—in other words, that take cues from proactive distance itself. Thus, while the phrase ''the ends of aloneness'' speaks to aims and goals for conduct, another aspect has to do with the forms of closing scenes. Refashioning the marriage plot to acknowledge solo strength, the novels here make social distance anchor new relational forms that combine eccentric views, yet further blend oddities with careful social concessions into patterns of compromise.","|Advisor:  Bernstein, Susan D.",,English,CULL|REVIEW
Dissertation,"Franklin, Ieuan",2009,"Folkways and Airwaves: Oral History, Community and Vernacular Radio","Poole, UK",Bournemouth University,,PhD diss.,,,http://eprints.bournemouth.ac.uk/15995/,,20th century,Communication -- Media|Linguistics|Anthropology -- Folklore,,"Ong, Walter J., 1912–2003","This thesis investigates a variety of uses of actuality (recorded speech), oral history and folklore (vernacular culture) in radio broadcasting in Britain and Newfoundland (Canada). The broadcasting of vernacular culture will be shown to foster intimate and interactive relationships between broadcasters and audiences. Using a theoretical framework that draws upon the work of communications theorists Harold Innis and Walter Ong, the thesis will explore the (secondary) orality of radio broadcasting, and will consider instances in which the normative unidirectional structure and 'passive' orality of radio has been (and can be) made reciprocal and active through the participation of listeners. The inclusion of 'lay voices' and 'vernacular input' in radio broadcasting will be charted as a measure of the democratization of radio, and in order to demonstrate radio's role in disseminating oral history, promoting dialogue, and building and binding communities. The thesis will predominantly focus on local and regional forms of radio: the BBC Regions in the post-war era; regional radio programming serving the Canadianprovince ofNewfoundland both pre- and post-Confederation (which took place in 1949); and the community radio sector in the UK during the last five years. A common theme of many of the case studies within the thesis will be the role of citizen participation in challenging, transgressing or eroding editorial control, institutional protocols and the linguistic hegemony of radio production. Conversely, close attention will be given to the ways in which editorial control in radio production has circumscribed the self-definition of participants and communities. These case studies will provide evidence with which to investigate the following research question - is the democratization of radio possible through the incorporation of citizen voices or messages within radio production or programming, or is it only possible through changing the medium itself through citizen participation in democratic structures of production, management and ownership?.",,,English,CULL|REVIEW
Dissertation,"Franks, Angela",2006,The Epiphany of Being Trinitarian Analogia Entis and the Transcendentals in Hans Urs von Balthasar,"Chestnut Hill, MA",Boston College,"iv, 381",PhD diss.,,http://worldcat.org/oclc/236983326,,,20th century,Theology -- Trinity|Theology -- Transcendental,Europe,"von Balthasar, Hans Urs, 1905–1988",,|Academic Department:  Theology,,English,CULL|REVIEW
Dissertation,"Franks, J. David",2006,The Logos Interrupts Ideology: Balthasar's Theodramatics as Political Theology,"Chestnut Hill, MA",Boston College,"vi, 349",PhD diss.,,http://worldcat.org/oclc/236988250,,,20th century,Theology -- Political Theology|Theology -- Dramatic,,"von Balthasar, Hans Urs, 1905–1988",,|Academic Department:  Theology,,English,CULL|REVIEW
Dissertation,"Friesenhahn, Jacob H.",2009,The Trinitarian Theology of Hans Urs von Balthasar and Theodicy,Dallas,Southern Methodist University,,PhD diss.,9781109160314|1109160313,,http://gateway.proquest.com/openurl?url_ver=Z39.88-2004&rft_val_fmt=info:ofi/fmt:kev:mtx:dissertation&res_dat=xri:pqdiss&rft_dat=xri:pqdiss:3356159,,20th century,Theology -- Trinity|Theology -- Theodicy,,"von Balthasar, Hans Urs, 1905–1988|Rahner, Karl, 1904–1984","The purpose of this dissertation is to offer a theodicy or response to the problem of evil that takes as its point of departure the trinitarian theology of Hans Urs von Balthasar. The problem of evil, in essence, asks, Why is evil present in the creation of an omnipotent and omnibenevolent God? Chapter 1 defines basic terms, such as 'problem of evil' and 'theodicy,' and frames the debate on evil and theism using recent work in analytic philosophy. I begin with David Hume's attack on 'natural religion' based on the reality of evil. The work of Hume sets the stage for later debates on evil in the analytic philosophy of religion. After Hume, I move to J. L. Mackie's presentation of the atheistic argument from evil, with a focus on Mackie's attack on the free-will defense. I then examine Alvin Plantinga's response to Mackie and Plantinga's endorsement of the free-will defense against Mackie's attack. My discussion of the pivotal Mackie-Plantinga debate on the problem of evil is followed by an examination of three contemporary figures within analytic philosophy who have offered Christian responses to the problem of evil---John Hick, Eleonore Stump, and Marilyn McCord Adams. In the midst of this discussion, I pause to compare the proposals of Plantinga, Hick, Richard Swinburne, and Peter van Inwagen on natural evil. Chapter 2 examines the trinitarian theology of Hans Urs von Balthasar in the context of recent and contemporary trinitarian theology, because I will argue that the doctrine of the Trinity is the essential Christian resource needed to answer the problem of evil. After rehearsing and critiquing the popular story of the rise and fall of trinitarian theology, as told by Karl Rahner, Catherine LaCugna, and others, I examine the tentative place of the Trinity in the doctrinal theology of Friedrich Schleiermacher and Paul Tillich and then the renewed emphasis on the Trinity found in Karl Barth and Rahner. The work of Barth and Rahner provides the framework in which to consider the thought of several major contemporary theologians on the Trinity---Jurgen Moltmann, Walter Kasper, Wolfhart Pannenberg, and John Zizioulas. Once the context has been set, I turn fully to the theology of the Trinity of Hans Urs von Balthasar. I argue that Balthasar's primary account of the immanent Trinity is one of reciprocal, self-giving, interpersonal love dynamically exchanged among distinct divine persons, who share fully and equally in the one divine essence of kenotic love, and that the economic Trinity, particularly in the Cross of Christ, makes trinitarian love present to human persons. In Chapter 3 I develop a theodicy based on Balthasar's theology of the Trinity. I begin by discussing the nature and purpose of theodicy and various recent attacks on the validity of the theological enterprise of theodicy. After clarifying the theological aims of a Christian theodicy, and setting to the side common but inadequate responses to the problem of evil, I turn to my own understanding of a successful Christian theodicy. I begin with Scripture (Genesis, Job, and the Gospels) and then use Pope John Paul II's Salvifici Doloris as a bridge from the Gospel account of the life of Christ to Balthasar's theology of the Trinity and its application to theodicy. I argue that Balthasar's interpersonal model of the Trinity as a life of communal self-giving love and Balthasar's grounding of the economy of salvation in the immanent Trinity provide the proper framework for answering the problem of evil from a Christian theological perspective. I conclude that human suffering, united to the Cross of Christ, becomes a participation in the life of the Triune God in a way that renders such suffering of great salvific value to the one who suffers and that thus justifies God's permission of innocent suffering. Finally, as a connection between Balthasar's work and American popular culture, I observe the trinitarian features of the response to the problem of evil found in William P. Young's recent best-selling novel The Shack and discover claims concerning the Trinity and theodicy that resonate deeply with the theology of Balthasar. (Abstract shortened by UMI.)",,,English,CULL|REVIEW
Dissertation,"Frison, Daniele",2007,I gesuiti in Giappone: Il caso di Carlo Spinola,Rome,Università di Roma la Sapienza,456,PhD diss.,,,,,16th century|17th century,Foreign Missions -- History -- Regional|Foreign Missions -- Biography,Asia -- Japan,"Spinola, Carlo, 1564–1622",,,,Italian,CULL|REVIEW
Dissertation,"Fritz, Peter Joseph",2010,"Sublime Apprehension: A Catholic, Rahnerian Construction","Notre Dame, IN",University of Notre Dame,"vi, 379",PhD diss.,,,http://etd.nd.edu/ETD-db/theses/available/etd-03192010-120508/,,20th century,Theology -- Spirituality,,"Rahner, Karl, 1904–1984|Ignatius, of Loyola, Saint, c.1491–1556",,"This dissertation shows how the thought of Karl Rahner presents the ethos of Catholic Christianity, which, since the dawn of modernity, one might call the Catholic sublime, and its late modern instantiation, called sublime apprehension. As a constructive effort, the dissertation re-places Rahner into an idiom proximate, though unequal to his own: the Heideggerian critique of modern subjectivity. The majority of the dissertation's work consists in uncoupling Rahner's difficult term, Vorgriff, from the metaphorical associations of grasping (greifen) latent within it. This uncoupling occurs in various phases, passing through Rahner's appropriations of Thomas Aquinas and Ignatius of Loyola and his teachings on grace, mystery, and eschatology, Martin Heidegger's readings of Friedrich Nietzsche, Friedrich Hölderlin, and Rainer Maria Rilke, and the sublime-aesthetics of Jean-François Lyotard, Jean-Luc Nancy and Jean-Luc Marion. The dissertation aims to retrieve a truly Rahnerian Rahner, and to show his, and Catholicism's, versatility for the future.|Academic Department:  Theology|Advisor:  O'Regan, Cyril J.|Cunningham, Lawrence S.|Ashley, Matthew",,English,KEEP|REVIEW
