Reference Type,Author,Year,Title,Title of Journal,Volume,Issue,Page Range,Epub Date,Date,ISSN,DOI,WorldCat URL,Publisher URL,Leuven URL,When,What,Where,Who,Abstract,Notes,Notes to Editors,Translated Author,Translated Title,Language,Editing Tags
Journal Article,"Bargieł, Franciscus",2004,Adamus Quirinus Krasnodebski SJ (1628–1702) eiusque philosophicum opus,Forum philosophicum: International Journal for Philosophy,,9,259–263,,,1426-1898,10.5840/forphil2004931,,http://forumphilosophicum.ignatianum.edu.pl/index.php?id=2735,,17th century|18th century,Philosophy|Biography,Europe -- Poland,,"Pod tym tytulem ukazala sie rozprawa monograficzna w ,,Archiwum Historii Filozofii i Mysli Spolecznej"", T. 27, 1981, s. 291-332. Powyzszy tekst podaje jej streszczenie w jezyku lacinskim dia tych czytelnikw ,,Forum philosophicum"", ktrzy nie znaj jezyka polskiego. Jest to zarazem poszerzony przeklad z polskiego na lacine biogramu-hasla o Krasnodebskim przygotowanego dla Powszechnej Encyklopedii Filo- zofli, wydawanej w Lublinie (KUL).|This article discusses the biography and philosophical views of the Polish Jesuit, Adam Quirinus Krasnodębski. It is a Latin summary of the author’s Polish article, which was published in Archiwum Filozofii i Myśli Społecznej 1981, vol. 27.",,,,,Polish,REVIEW
Journal Article,"Bargieł, Franciscus",2004,Adamus Quirinus Krasnodębski SJ (1628–1702) eiusque philosophicum opus,Forum philosophicum: International Journal for Philosophy,9,,259–263,,November,1426-1898,10.5840/forphil2004931,,https://www.pdcnet.org/forphil/content/forphil_2004_0009_0259_0263,,17th century|18th century,Philosophy |Biography -- Intellectual|Historiography -- Bibliographies,,"Krasnodębski, Adamus Quirinus, 1628–1702","This article discusses the biography and philosophical views of the Polish Jesuit, Adam Quirinus Krasnodębski. It is a Latin summary of the author’s Polish article, which was published in Archiwum filozofii i myśli społecznej 1981, vol. 27.",,,,Adamus Quirinus Krasnodębski and his philosophical work,Latin,REVIEW
Journal Article,"Banholzer, Max",2004,"Das Jesuitenkollegium (Abschnitt von: Die Choraulen von St.Ursen, Solothurn, Geschichte der Solothurner Singknaben – im Rahmen der solothurnischen Schul- und Kirchengeschichte)",Jahrbuch für solothurnische Geschichte,,77,69–82,,,0258-0683,,,http://www.e-periodica.ch/digbib/view?pid=jsg-003:2004:77#72,,17th century|18th century,Education -- Colleges -- History -- Local,Europe -- Switzerland,,,,,,,German,REVIEW
Journal Article,"Antón, José María",2004,Germain Grisez: Una vida al servicio de la renovación de la moral,Alpha Omega,7,2,301–326,,,1126-8557,,,https://riviste.upra.org/index.php/ao/article/view/671/500,,20th century,Biography|Theology -- Moral,North America -- USA,"Ford, John Cuthbert, 1902–1989","This year, on September 30th, Germain Grisez will be 75 years old. This article is a tribute to him and to his work. As a lay person, husband and father of four children, with a doctorate in philosophy from the University of Chicago and twenty years of teaching experience, he became a defender “ante litteram” of the doctrine of “Humanae Vitae”. During the last thirty years he has dedicated himself to the renewal of moral theology, while teaching at Mount Saint Mary’s Seminary and Mount Saint Mary’s College in Emmitsburg, Maryland. His enormous contribution to moral theology – especially the three volumes of his work, “The Way of the Lord Jesus”, with a fourth volume in process– may be considered the most profound, complete and original exposition of moral theology since the Second Vatican Council.",,,,,Spanish,REVIEW
Journal Article,"Andrade, William César de",2004,'As duas espadas': Conflito na interpretação histriográfica do Brasil Colônia,Rever: Revista de estudos de religião,1,,91–112,,,1677-1222,,,http://www.pucsp.br/rever/rv1_2004/p_andrade.pdf,,17th century,Foreign Missions -- Historiography|Foreign Missions -- History -- Regional|Writings|Foreign Missions -- Politics -- Colonialism,South America -- Brazil,"Vieira, António, 1608-1697","For several times in the course of his pontificate, Paul Pope II had apologized for past mistakes of the Catholic Church. This is not only remarkable in terms of the Church’s actual policy but has also an impact on the study of the History of the Church in Brazil. One of the problems calling attention under this circumstances is the attitude of Catholicism towards (and its active participation in) Slavery. The article characterizes and evaluates three conceptual frameworks for a discussion of the aforementioned issue: The first is typical for historians committed to the Church who are particularly interested in the “Zeitgeist” as the overall background of concrete history. The second is favored by secular academic historians who consider the Church as one institution among others. Thirdly, there are historians associated with CEHILA (Commission for Historical Studies of the Church in Latin America and Caribe) whose studies show a preference for the interpretation of the Church as an agent for outsiders and their struggle for liberation.",,,,,Portuguese,REVIEW
Journal Article,"Altholz, Josef L.",2004,"Simpson, Richard (1820–76)",Oxford Dictionary of National Biography,,,,,,,10.1093/ref:odnb/25590,,http://www.oxforddnb.com/view/article/25590,,16th century|17th century|18th century|19th century,Biography|Historiography |Writings -- Biographies -- Saints and Blessed,Europe -- UK,"Campion, Edmund, Saint, 1540–1581",,,,,,English,REVIEW
Journal Article,"Alexander, John",2004,Shaping Sacred Space in the Sixteenth Century: Design Criteria for the Collegio Borromeo's Chapel,Journal of the Society of Architectural Historians,63,2,164–179,,June,0037-9808,10.2307/4127951,,http://jsah.ucpress.edu/content/63/2/164,,16th century,Arts -- Architecture|Primary Sources,Europe -- Italy -- Pavia|Europe -- Italy -- Rome,,"In this article, I present a newly discovered, late-sixteenth-century design drawing for the chapel of the Collegio Borromeo, in Pavia, Italy, and investigate it in the context of contemporary Catholic ecclesiastical architecture. Historiographically, the period is dominated by the church of the Gesù, in Rome, interpreted as a typological paradigm characterized by austere architecture and restrained decoration. This view is called into question by the Collegio's chapel. The initial design (represented by the drawing) drew from ancient sources in order to achieve spatial complexity. The realized chapel is spatially simpler, but ornately ornamented and decorated. The chapel differs from what is considered the norm, but is the chapel an anomaly, or are traditional understandings of the Gesù invalid? On investigation, it becomes evident that patrons may have established a number of criteria for their churches, but architects had a degree of freedom in designing them. In few if any contemporary cases, however, was architectural severity a goal for Catholic churches. With the example of the Collegio's chapel, these findings take on greater significance: the patron, Carlo Borromeo (1538-1584), was one of the most important in the history of ecclesiastical architecture. The chapel's architect, Pellegrino Tibaldi (1527-1596), restored, renovated, and built numerous sacred spaces for Borromeo. What they achieved demonstrates that Catholic reformers of the latter half of the sixteenth century sought architectural magnificence for buildings dedicated to the worship of God.",,,,,English,REVIEW
Journal Article,"McCoog, Thomas",2004–16,Jesuit Missionaries to England (act. 1579–1606),Oxford Dictionary of National Biography,,,,,,,,,http://www.oxforddnb.com/view/theme/95597,,16th century|17th century,Controversies -- England|History -- Regional|Prosopography,Europe -- UK -- England,"Good, William, 1527–1586|Pounde, Thomas, 1539–1615|Woodhouse, Thomas, d.1573|Persons, Robert, 1546–1610|Campion, Edmund, Saint, 1540–1581|Heywood, Jasper, 1535–1598|Southwell, Robert, Saint, c.1561–1595|Oldcorne, Edward, 1561–1606|Walpole, Henry, 1558–1595|Gerard, John, 1545–1612|Creswell, Joseph, 1556–1623|Owen, Nicholas, Saint, d.1606",,,,,,English,KEEP
Journal Article,"Županov, Ines G.",2005,"'One civility, but multiple religions': Jesuit Mission among St. Thomas Christians in India (16th–17th Centuries)",Journal of Early Modern History,9,3,284–325,,,1385-3783,10.1163/157006505775008473,,http://booksandjournals.brillonline.com/content/journals/10.1163/157006505775008473,,16th century|17th century,Foreign Missions -- History -- Regional -- Religious History|Foreign Missions -- Religious Pluralism,Asia -- India,,"The encounter between the Jesuit missionaries and the St. Thomas Christians or Syrian Christians in Kerala in the second part of the sixteenth century was for both sides a significant opening to different cultural beliefs and routines. An important and understudied outcome of this encounter, documented here on the Jesuit side, was the possibility of accepting religious plurality, at least within Christianity. The answers to the questions of how to deal with religious diversity in Christianity and globally, oscillated between demands for violent annihilation of the opponents and cultural relativism. The principal argument in this paper is that it was the encounter with these ""ancient"" Indian Christians that made the missionaries aware of the importance of the accommodationist method of conversion. This controversial method, employed in the Jesuit overseas missions among the ""heathens"", was therefore first thought out and tested in their mission among the St. Thomas Christians in the late sixteenth century",,,,,English,KEEP
Journal Article,"Zollitsch, Robert",2005,Mons. Dominik Kaľata SJ: Jubilant v biskupskej službe,Viera a život,15,6,44–47,,,1335-6771,,,,,20th century|21st century,Bishops|Church -- Jubilees|History -- Local,Europe -- Poland,"Kaľata, Dominik, 1925–",,,,,,Slovenian,REVIEW
Journal Article,"Zavarský, Svorad",2005,Martin Sentiváni: Grécka schizma a únia; Historicko-polemická dizertácia,"Sambucus: Práce z klasickej filológie, latinskej medievalistiky a neolatinistiky",1,,11–34,,,8080820457,,,,,17th century|18th century,Church -- Church History -- Schisms -- Greek Schism|Biography |Writings -- Historiography|Literature -- Neo-Latin,Europe -- Slovakia,"Szent-Ivany, Martinus, 1633–1705","In his contribution, the author deals with Martin Szent-Ivany´s dissertation on the Greek Schism and Union published in 1703 by Trnava University Press. First, a short look into the mental world of Szent-Ivany´s time and an overview of his literary activities in presented. Then, some aspects of the Latin literary production within the context of the Slovak culture are discussed. Finally, the author describes the main characteristics of Szent-Ivany´s Latin in the mentioned dissertation. A short extract from the dissertation along with a working version of Slovak translation comes at the end.",,,,,Czech,REVIEW
Journal Article,"Zas Friz de Col, Rossano",2005,La tradición mística ignaciana (II): Autores franceses de los siglos XVI al XX,Manresa,,77,325–342,,,0214-2457,,,,,16th century|17th century|18th century|19th century|20th century,Spirituality -- Mysticism|Historiography -- Bibliographies|Writings -- Spirituality,Europe -- France,,,,,,,Spanish,REVIEW
Journal Article,"Zarazaga, Gonzalo Javier",2005,La comunión trinitaria: La contribución de Karl Rahner,Estudios eclesiásticos,80,313,263–290,,April–June,0210-1610,,,,,20th century,Theology -- Trinity,Europe,"Rahner, Karl, 1904–1984","Este artículo resume cuáles son los aportes centrales de Karl Rahner a la teología trinitaria, especialmente en su visión de la Trinidad como comunión y autodonación, superando los paradigmas de la substancia del sujeto. Se indaga también en las deficiencias y los problemas que la teología rahneriana dejó abiertos. Desde las mismas intuiciones de Rahner, se proponen algunas vías para continuar profundizando en el misterio y en el significado soteriológico de la Trinidad. This artcile reviews the main contributions of Karl Rahner to the theology of the Holy Trinity, especially through the concept of communion and self-giving, departing from the old paradigms of substance and subject. The shortcomings and problems of this theology are also exposed. Rahner's own contributions are further developed by going deeper into the mystery and soteriological significance of Holy Trinity.",,,,Communion in trinitarian theology: The contributions of Karl Rahner,Spanish,REVIEW
Journal Article,"Yocum, John",2005,A Cry of Dereliction? Reconsidering a Recent Theological Commonplace,International Journal of Systematic Theology,7,1,72–80,,January,1468-2400,10.1111/j.1468-2400.2005.00152,,http://onlinelibrary.wiley.com/doi/10.1111/j.1468-2400.2005.00152.x/abstract,,20th century,Theology -- Scripture -- Exegesis|Theology -- Trinity,Europe,"von Balthasar, Hans Urs, 1905–1988","The ‘cry of dereliction’ (‘My God, my God, why have you forsaken me?’) has often been understood in recent theology as pointing to a genuine abandonment of the Son by the Father in the event of the cross. Hans Urs von Balthasar's account of this is explored, and exegetical and theological reasons are offered for preferring a more traditional account in which the unity of the Trinity remains unbroken by human sin.",,,,,English,REVIEW
Journal Article,"William, A. N.",2005,The Future of the Past: The Contemporary Significance of the Nouvelle Théologie,International Journal of Systematic Theology,7,4,347–361,,October,1468-2400,10.1111/j.1468-2400.2005.00171,,http://onlinelibrary.wiley.com/doi/10.1111/j.1468-2400.2005.00171.x/full,,20th century,Theology -- Movements -- Nouvelle théologie|Theology -- History,Europe -- France,"de Lubac, Henri, 1896–1991|Bouillard, Henri, 1908–1981|Daniélou, Jean, 1905–1974","The nouvelle théologie was a noticeably diverse movement, but if it had a core it was not in opposition to Thomism, or in a claim that patristic sources were to be privileged in theology. Rather, it was in a serious examination of all historical theological resources that both recognized their diversity and partiality but also sought to find in them resources for the renewal of theology. In contrast to the situation into which the nouvelle théologie developed, the danger for theology today is not a captivity to a particular historical source, but a refusal to engage seriously with any historical material, because it is seen as irrelevant, or positively harmful, to the theological task for various reasons. The chastened traditionalism of the nouvell théologie might thus be seen to have something to say to our own day, as well as its own.",,,,,English,REVIEW
Journal Article,"Wiggins, Martin",2005,Shakespeare Jesuited: The Plagiarism of ‘Pater Clarcus’,Seventeenth Century,20,1,1–21,,,2050-4616,10.1080/0268117X.2005.10555548,,http://www.tandfonline.com/doi/abs/10.1080/0268117X.2005.10555548,,17th century,Arts -- Theater -- Sources|Literature -- Literary Criticism,Europe -- France -- Saint-Omer,,,,,,,English,KEEP
Journal Article,"Wieland, Christian",2005,Die bayerische Adelsverschwörung von 1563: Ereignis und Selbstdeutungen,Zeitenblicke: Online Journal für die Geschichtswissenschaften,4,2,1–15,,,1619-0459,,,http://www.zeitenblicke.de/2005/2/Wieland,,16th century,History -- Regional|Protestantism|Politics,Europe -- Germany,,"In den Auseinandersetzungen zwischen Albrecht V. von Bayern und Teilen des bayerischen Adels auf dem Ingolstädter Landtag 1563, den fehdeähnlichen Kämpfen des Herzogs gegen Graf Joachim von Ortenburg und dem Hochverratsprozess des Landesherrn gegen prominente Mitglieder des Landadels 1564 standen sich zum einen Katholizismus und Protestantismus gegenüber. Dieser Kampf um die Orthodoxie verband sich mit rivalisierenden Konzeptionen von Herrschaftsausübung und Politikgestaltung; im Kontext der Intensivierung und Verdichtung fürstlicher Herrschaft wurden aristokratisch-ständische Vorstellungen nochmals besonders vehement artikuliert. Der bayerische Adel schloss sich dabei den Bestrebungen zahlreicher niederadliger Gruppierungen des Reichs an, die nach reichsunmittelbarem Status strebten. So waren denn auch die Anführer der Adelsfronde Angehörige von Familien, deren Status auf der Grenze zwischen Landsässigkeit und Reichsstandschaft anzusiedeln war. Schließlich waren diese Konflikte auch solche um die Herrschaft über die Sprache. Beide Parteien bedienten sich vor allem des Begriffs der Gemeinschaft, der Einheit, um sich zu legitimieren. Während für den Adel Gemeinschaft eine autonome, ständische Veranstaltung war, hieß sie für den Herzog die Ausrichtung von vereinzelten Individuen auf ihn – nach den Kategorien von Gnade und Verdienst. Im europäischen Vergleich zeigt sich, dass der Adel den Versuchen der Monarchen, das Monopol auf ""Orthodoxie"" zu formulieren, fast regelmäßig mit ""Gegenorthodoxien"" begegnete – Gewissensbeherrschung war keine ausschließliche Domäne der Staatsgewalt.",,,,,German,REVIEW
Journal Article,"Wicks, Jared",2005,Pieter Smulders and Dei Verbum: 5. A Critical Reception of the Schema De revelatione of the Mixed Commission (1963),Gregorianum,86,1,92–134,,,0017-4114,,,http://www.jstor.org/stable/23582680,,20th century,History -- Councils -- Vatican II|Theology -- Biblical -- Hermeneutics,Asia -- Indonesia|Europe -- Vatican City,,,,,,,German,REVIEW
Journal Article,"Villagrasa, Jesús",2005,Hans Urs von Balthasar: Filósofo,Alpha Omega,8,3,475–502,,,1126-8557,,,http://www.academia.edu/4727977/Hans_Urs_von_Balthasar_fil%C3%B3sofo,,20th century,Theology -- Method|Philosophy|Biography -- Intellectual,Europe -- Switzerland,"von Balthasar, Hans Urs, 1905–1988","This year marks the hundredth anniversary of the birth of Hans Urs von Balthasar, one of the foremost 20th century theologians and a man of immense culture. His contribution to philosophy, however, is not so well known or appreciated. This article takes a look at his life and works, his philosophical output and method. Since the philosophy he develops is meant to support his theological thought and tie in with it, it raises some speculative problems that Balthasar himself seeks to resolve.",,,,,Spanish,REVIEW
Journal Article,"Vergara, Javier",2005,Datos y fuentes para el estudio de los seminarios conciliares en Hispanoamérica 1530–1800,Anuario de historia de la Iglesia,,14,239–300,,,1133-0104,,,http://www.redalyc.org/pdf/355/35514017.pdf,,16th century|17th century|18th century,Foreign Missions -- Education -- Seminaries|Foreign Missions -- History -- Regional,South America,"Álvarez de Paz, Jacobo, 1560–1620",La historiografía sobre los seminarios conciliares ha tenido en la segunda mitad del siglo XX un avance lo suficientemente importante como para poder afirmar que estamos ante un foco de interés histórico incuestionable.,,,,,Spanish,REVIEW
Journal Article,"Verdoy, Alfredo",2005,La experiencia de 'vinculación jurídica' con la Compañía de Jesús: Balance y perspectivas de futuro,Manresa,77,302,75–89,,,0214-2457,,https://worldcat.org/oclc/926485063,,,16th century|17th century|18th century|19th century|20th century|21st century,Institute|Law -- Canon|Theology -- Religious Life|Identity,Europe,,,,,,,Spanish,REVIEW
Journal Article,"Torrini, Maurizio",2005,Da Galileo a Kircher: Percorsi della scienza gesuitica,Galileana: Journal of Galilean Studies,,2,3–17,,,1971-6052,,,https://store.torrossa.com/resources/10.1400/21544,,17th century,Sciences -- History of Science|Sciences -- Astronomy,,"Kircher, Athanasius, 1602–1680","This essay traces back, with reference to the relations with Galileo the involvement in the field of science of the Society of Jesus, constricted between Aristotle and the revolution in the heavens and on earth, inaugurated by the Sidereus Nuncius. A Battle that the Society found itself fighting on two fronts, the internal one aimed at seeing that none of its own were involved in this revolution, and the other front aimed at contrasting the success of the new science, employing every means.",,,,,Italian,REVIEW
Journal Article,"Thio, Santiago",2005,Ignacio: De la humildad a la pacificación,Manresa,,77,125–137,,,0214-2457,,https://www.worldcat.org/oclc/926499004,,,16th century,Ignatius of Loyola -- Spirituality,,"Ignatius, of Loyola, Saint, c.1491–1556",,,,,,Spanish,REVIEW
Journal Article,"Svatoš, Martin",2005,Neznámá předloha známého elogia P. Fridricha Bridelia TJ?,Listy filologické,128,3–4,357–369,,,0024-4457,,,,,17th century,Literature -- History -- Regional|Literature -- Poetry,Europe -- Czech Republic,"Bridel, Bedřich, 1619–1680",,,,,,Czech,REVIEW
Journal Article,"Suenens, Kristien",2005,Het proces-De Buck (1864–1868): Een erfenisproces als inzet van het klerikaal-liberale conflict in België,Trajecta: Tijdschrift voor de geschiedenis van het katholiek leven in de Nederlanden,14,1,3–24,,,0778-8304,,,http://kadoc.kuleuven.be/trajecta_portal/nl/perio/tol.php,,19th century,History -- Regional|Controversies -- Trials|History -- Church History,Europe -- Belgium,,"The De Buck case, which caused a stir in Belgium between 1864 and 1868, involved two court cases in which the Jesuits, although not actually called to the stand, were unofficially and implicitly accused of inheritance theft. They were alleged to have slyly stolen the inheritance of a rich and pious person of independent means from Antwerp. The inheritance case and the charge of legacy hunting, an accusation that had pursued the Jesuit order for centuries, was blown up by the liberal press and public opinion and caused quite a commotion in the context of the clerico-liberal battle that was being fought in Belgium at the time. The Catholic press and politicians tried to refute the accusations against the Jesuits, but their liberal opponents seized the opportunity to vilify the Catholic party in the wake of the De Buck trial. They characterised right-wing politicians as the pawns of conservative Jesuits, who by their fraudulently acquired wealth and influence not only posed a threat to family possessions but also endangered the liberal foundations of the Belgian state. In this way the De Buck trial became a symbol of the clericoliberal conflict, and this in turn explains the entire witch hunt surrounding the case and its effect on political events at certain times.",,,,,Dutch,REVIEW
Journal Article,"St. Amour, Paul",2005,Lonergan and Gilson on the Problem of Critical Realism,The Thomist,69,4,557–592,,October,0040-6325,https://doi.org/10.1353/tho.2005.0003,,https://muse-jhu-edu.avoserv2.library.fordham.edu/article/636504/pdf,,20th century,Philosophy -- Ontology|Theology -- Method|Philosophy -- History,,"Lonergan, Bernard J. F., 1904–1984",,,,,,English,REVIEW
Journal Article,"Škoviera, Daniel",2005,Societas Jesu ako novodobá stoa v promočnom spise Jána Kaziho,"Sambucus: Práce z klasickej filológie, latinskej medievalistiky a neolatinistiky",1,,55–79,,,8080820457,,,,,17th century|18th century,History -- Regional -- Intellectual|Biography,Europe -- Slovakia,,,,,,,Slovak,REVIEW
Journal Article,"Sipekiová, Nicol",2005,O uplatnení zásady rečovej elegancie v spise Syntaxis ornata,"Sambucus: Práce z klasickej filológie, latinskej medievalistiky a neolatinistiky",1,,123–130,,,8080820457,,,,,17th century|18th century,Education -- Universities -- History -- Local|Arts -- Rhetoric,Europe -- Slovakia,,"The academic press of Trnava University (1635–1777) offered a great variety of literature to students as well as pedagogues. So they could become acquainted also with works printed extra the border of the Austro-Hungarian Monarchy. This paper deals very shortly with one book of Jesuit Franciscus Pomey, a man of great erudition, who left behind miscellaneous works, mainly lexicographical, grammatical and rhetorical. One of his most successful books in this field was a grammar handbook Syntaxis ornata seu de tribus Latinae linguae virtutibus - puritate, elegantia, copia, printed in 1754. It was meant for student´s use at the Facultas linguarum of Trnava University. This work analyses the ways and possibilities of how to achieve elegance of Latin, which was one of the typical features of Latin language represented by Cicero. Pomey recommends replacing clauses by participial constructions and stresses the importance of using particles as well as of the due word order.",,,,The use of speech refinement principles in Syntaxis ornata,Slovak,REVIEW
Journal Article,"Šimončič, Jozef",2005,Peter Pázmaň a Slováci v Trnave,"Sambucus: Práce z klasickej filológie, latinskej medievalistiky a neolatinistiky",1,,185–193,,,8080820457,,,,,17th century,History -- Regional|Cardinals -- Biography,Europe -- Slovakia,"Pázmány, Péter, 1570–1637",,,,,,Slovak,REVIEW
Journal Article,"Shore, Paul J.",2005,"Baroque Drama in Jesuit Schools of Central Europe, 1700–1773",History of Universities,20,2,146–179,,,0144-5138,,,,,18th century,Arts -- Theater -- Drama -- Baroque|Education -- Colleges -- History -- Regional,Europe,"Canisius, Peter, Saint, 1521–1597|Boscovich, Ruggero Giuseppe, 1711–1787|Hell, Miksa, 1720–1792",,,,,,English,KEEP
Journal Article,"Shelke, Christopher",2005,Kipp (1862–1903): Ein Apostel der maharashtriya Kirche,Studia missionalia,54,,105–144,,,0080-3987,,,,,19th century|20th century,Foreign Missions -- Biography|Foreign Missions -- History -- Regional|Foreign Missions -- Inculturation,Asia -- India -- Maharashtra -- Mumbai,"Kipp, Gerhard, 1862–1903",,,,,,German,REVIEW
Journal Article,"Seguí Santos, José",2005,La orden de los Jesuitas en Valencia durante el pontificado de San Juan de Ribera,Miscelánea Comillas,,63,207–224,,,0210-9522,,,,,16th century|17th century,History -- Regional|Church -- Bishops,Europe -- Spain -- Valencia,,,,,,,Spanish,REVIEW
Journal Article,"Schulz, Michael",2005,La necesaria mediación filosófica de la fe y de la teología según Karl Rahner,Estudios eclesiásticos,80,313,325–338,,April–June,0210-1610,,,,,20th century,Theology -- Method|Philosophy -- Epistemology,Europe,"Rahner, Karl, 1904–1984","Este artículo reconstruye los argumentos filosóficos con los cuales Karl Rahner intenta justificar racionalmente la posibilidad de la fe en una autocomunicación definitiva del Dios Trino en el acontecimiento de Cristo. La necesidad de una demostración filosófica de la posibilidad e inteligibilidad de una revelación definitiva de Dios en la historia humana resulta de la negaci´øn de tal revelación (Lessing, Hick) y dela exigencia intrínseca de una automediación de la fe misma en el horizonte de la razón. This article reconstructs Karl Rahner's attempt at philosophically justifying the possibility of a faith in a triune God's definitive self-communication through the event of Christ. The necessity of such a philosophical demonstration of the mere possibility and plausability of a definitive revelation of God in history results from the fact of its having been denied (Lessing, Hick) as well as from the demand for self-mediation within the horizon of reason which is intrinsic to faith.",,,,,Spanish,REVIEW
Journal Article,"Saranyana, Josep Ignaci",2005,La recepción de Medellín en la historiografía colombiana,Anuario de historia de la Iglesia,,14,177–200,,,1133-0104,,,http://www.unav.edu/publicacion/historiadelaiglesia/,,20th century,Foreign Missions -- History -- Regional|Church -- History -- Bishops' Conferences|Foreign Missions -- Historiography,South America -- Colombia -- Medellin,"Segundo, Juan Luis, 1925–1996","La Conferencia General del Episcopado de Medellín (1968) no supuso una ruptura, sino continuidad, aunque en su momento ello no pudo apreciarse.",,,,,Spanish,REVIEW
Journal Article,"Samir, Samir Khalil",2005,"Michel van Esbrock, SJ (1934–2003): Le collegue et l’ami",Collectanea christiana orientalia,,2,409–440,,,1697-2104,,,https://www.uco.es/revistas/index.php/cco/article/view/708/665|http://dx.doi.org/1.2171/cco.v2i,,20th century,Biography|Oriental Studies|Bollandists,Europe -- Belgium -- Louvain,,,,,,,French,REVIEW
Journal Article,"Rojka, Luboš",2005,Stále príťažlivé posolstvo jezuitu Bernarda Lonergana,Viera a život,15,4,48–51,,,1335-6771,,,,,20th century,Philosophy|Biography,North America -- Canada,"Lonergan, Bernard J. F., 1904–1984",,,,,,Slovenian,REVIEW
Journal Article,"Rodríguez-Panzio, Pedro",2005,Karl Rahner y la presencia de Cristo en las otras religiones,Estudios eclesiásticos,80,313,315–323,,April–June,0210-1610,,,,,20th century,Theology -- Christology|Theology -- Religions,Europe,"Rahner, Karl, 1904–1984",La presente contribución sintetiza la aportación de K. Rahner al problema del significado teológico de las otras religiones en su relación con el cristianismo. Haciendo especial hincapié en la sistematicidad y la relación del problema con el resto de la teología rahneriana.||This present study summarizes Karl Rahner's contribution to the problem of the existence of other religions and their theological meaning in relationship to Christianity. it focuses on how this topic relates to the rest of his systematic theology.,,,,,Spanish,REVIEW
Journal Article,"Rico, Hermínio",2005,"In memoriam: António da Silva, S.J. (1926–2005)",Brotéria: Cristianismo e cultura,161,4,215–216,,October,0870-7618,,,,,20th century,Biography|Historiography,Europe -- Portugal,"Silva, António da, 1926–2005",,,,,,Portuguese,REVIEW
Journal Article,"Reimão, Cassiano",2005,Teilhard de Chardin: Evolução e esperança; Uma homenagem no 50.º aniversário da sua morte,Brotéria: Cristianismo e cultura,161,6,443–453,,December,0870-7618,,,,,20th century,Theology -- Cosmology|Theology -- Evolution|Philosophy -- Evolutionism|Theology -- Moral,,"Teilhard de Chardin, Pierre, 1881–1955","Testemunho pessoal de gratidão intelectual à influência do pensamento de Teilhard, reflectindo sobre as dificuldades que enfrentou e apresentando o seu percurso de investigação e de pensamento, que procurou conciliar a teoria da evolução com a fé cristã e, ligando a ciência à filosofia e à teologia, propor uma nova visão do futuro sintetizada numa mensagem de esperança para a aventura humana.",,,,,Portuguese,REVIEW
Journal Article,"Ravet, Jean-Claude",2005,Oscar Romero: Évêque du peuple et martyr,Relations (Québec),,701,6–7,,June,0034-3781,,,http://www.cjf.qc.ca/fr/relations/article.php?ida=632,,20th century|21st century,Foreign Missions -- History -- Regional|Foreign Missions -- Church -- Bishops|Identity -- Social Justice|Biography,North America -- El Salvador -- San Salvador,"Grande, Rutilio, 1928–1977",,,,,,French,REVIEW
Journal Article,"Ravet, Jean-Claude",2005,Des influences refoulées: Entrevue avec Denys Delâge,Relations (Québec),,698,12–15,,February,0034-3781,,,http://www.cjf.qc.ca/fr/relations/article.php?ida=346,,17th century|18th century|19th century|20th century,Foreign Missions -- History -- Regional|Foreign Missions -- Biography,North America -- Canada -- Québec,"Le Jeune, Paul, 1591–1664","Les Canadiens français ont été en étroites relations avec les Autochtones au temps de la Nouvelle-France, au point de marquer de façon significative leur manière de vivre et de penser. Pourtant, cette influence est très peu connue. Que s’est-il passé pour que le voile tombe sur ce pan de notre histoire? Le sociologue Denys Delâge, professeur à l’Université Laval, s’entretient avec Relations de cette réalité méconnue et des sources d’un déni.",,,,,French,REVIEW
Journal Article,"Rauser, Randal",2005,Rahner's Rule: An Emperor without Clothes?,International Journal of Systematic Theology,7,1,81–94,,January,1468-2400,10.1111/j.1468-2400.2005.00153,,http://onlinelibrary.wiley.com/store/10.1111/j.1468-2400.2005.00153.x/asset/j.1468-2400.2005.00153.x.pdf?v=1&t=i5rgtxje&s=2e63a68c728d44cc384859f9985a4b691cf714ee,,20th century,Theology -- Systematic|Biography -- Intellectual,Europe,"Rahner, Karl, 1904–1984","Karl Rahner's famous Rule, ‘The “economic” Trinity is the “immanent” Trinity, and the “immanent” Trinity is the “economic” Trinity’, has had an enormous impact on trinitarian theology. Yet it is extraordinarily difficult to identify a reading of the Rule that meets two essential criteria: (1) it is interesting (that is, not trivial), and (2) it is possibly true. In this paper I consider three possible readings: strict realist, loose realist, and finally antirealist. Unfortunately, each reading leaves the Rule either trivial or obviously false and so fails to meet both criteria, thus calling into question the theological value of the Rule.",,,,,English,KEEP
